gene,score
FAM131B_RNA,0.6478213667869568
SEMA5A_RNA,0.6218470931053162
SNORA12_RNA,0.6183516979217529
IGFBP2_RNA,0.6178419589996338
SNORA5C_RNA,0.6002752780914307
LRRTM2_RNA,0.590571403503418
DUSP5_RNA,0.5799829959869385
PCDH1_RNA,0.5725560784339905
KCNQ2_RNA,0.5693324208259583
SLC2A13_RNA,0.555760383605957
TMEM121_RNA,0.5540502667427063
CSPG4_RNA,0.5532479882240295
IL1RAP_RNA,0.5431830286979675
BCAT1_RNA,0.5378167629241943
FBLIM1_RNA,0.5347782373428345
LZTS1_RNA,0.5315744876861572
COL18A1_RNA,0.5086531639099121
SHC3_RNA,0.5086215734481812
F12_RNA,0.5060222744941711
TRAF4_RNA,0.502634584903717
TRNP1_RNA,0.5025536417961121
SNTG1_RNA,0.4933226406574249
COL9A3_RNA,0.49020567536354065
SNORA74A_RNA,0.48887506127357483
SNORA80B_RNA,0.48866909742355347
PCDHGC3_RNA,0.4850796163082123
DIRAS1_RNA,0.4846307337284088
SLC35F1_RNA,0.48305732011795044
PCDHGC4_RNA,0.48264577984809875
HSPG2_RNA,0.4818436801433563
TRIB2_RNA,0.48098161816596985
KCNF1_RNA,0.4799184203147888
ABHD2_RNA,0.473608136177063
SPRED3_RNA,0.4716407358646393
CYP51A1_RNA,0.47081369161605835
UBE2S_RNA,0.47070586681365967
SNORA74B_RNA,0.4681418538093567
FGF14_RNA,0.4673509895801544
PCDHAC2_RNA,0.46684926748275757
UBASH3B_RNA,0.4667603075504303
CAMK2B_RNA,0.4640187621116638
ZNF460_RNA,0.462850958108902
MGAT3_RNA,0.4621700346469879
KCNA2_RNA,0.45818328857421875
SPC24_RNA,0.45733165740966797
PDE4B_RNA,0.4573124051094055
HOMER1_RNA,0.45625168085098267
RGS7BP_RNA,0.45513710379600525
SHROOM2_RNA,0.44887709617614746
SPRY4_RNA,0.4487611651420593
VWA1_RNA,0.4473690986633301
DNAJC6_RNA,0.44660207629203796
IER5L_RNA,0.4444727301597595
LAMB1_RNA,0.4431861340999603
UNC13A_RNA,0.4423198997974396
B3GNT7_RNA,0.44208404421806335
TMSB10_RNA,0.4409751296043396
MYO5A_RNA,0.44084542989730835
ADAMTS1_RNA,0.4397086501121521
COL4A1_RNA,0.43965643644332886
TTC9B_RNA,0.43955206871032715
NID2_RNA,0.4393523335456848
KHDRBS3_RNA,0.4389910399913788
FSD1_RNA,0.4385574460029602
COL6A2_RNA,0.4371512234210968
SNORA54_RNA,0.43660280108451843
AGAP1_RNA,0.4353713095188141
C2CD4C_RNA,0.4352723956108093
THY1_RNA,0.4341675043106079
ASPHD2_RNA,0.4287702739238739
COL4A2_RNA,0.4285419285297394
ADAMTS4_RNA,0.42807629704475403
MCHR1_RNA,0.42714422941207886
MAD2L2_RNA,0.4262620210647583
PCDHGC5_RNA,0.4260411262512207
SNORD15B_RNA,0.4241737127304077
TRIO_RNA,0.4229864180088043
RAB15_RNA,0.4202263355255127
RNU6ATAC_RNA,0.41902923583984375
DIRAS2_RNA,0.41862574219703674
PHLDA1_RNA,0.41796982288360596
SNORA5A_RNA,0.41680067777633667
RIMS1_RNA,0.41397586464881897
PPARGC1B_RNA,0.4122568666934967
LINGO1_RNA,0.41098275780677795
EEF1A2_RNA,0.4109552800655365
ADAM12_RNA,0.4109439551830292
SEMA6B_RNA,0.4106189012527466
SNORD94_RNA,0.4101826250553131
XYLT1_RNA,0.4099785387516022
FREM2_RNA,0.4092159867286682
TNFRSF12A_RNA,0.40862393379211426
CNTNAP5_RNA,0.40774843096733093
NPTXR_RNA,0.40665459632873535
LRP3_RNA,0.40662312507629395
S1PR2_RNA,0.4064398407936096
ADAMTS9_RNA,0.40612053871154785
MCAM_RNA,0.40559330582618713
AEN_RNA,0.40487140417099
SEMA7A_RNA,0.4043421745300293
FABP7_RNA,0.4042389392852783
RPLP0_RNA,0.4040113389492035
THBS1_RNA,0.4040015935897827
ARSJ_RNA,0.40278714895248413
FSCN1_RNA,0.40257778763771057
AFAP1_RNA,0.4020017683506012
RASSF2_RNA,0.4017663896083832
DCHS1_RNA,0.4011268615722656
GAP43_RNA,0.4010637700557709
PLAT_RNA,0.4003313481807709
PLLP_RNA,0.3997891843318939
GPRIN1_RNA,0.39875760674476624
SOCS3_RNA,0.3986974060535431
TUBA1B_RNA,0.3982400596141815
LAMA4_RNA,0.3974548280239105
SCARNA21_RNA,0.3972225487232208
RIMS4_RNA,0.39659467339515686
