gene,score
SCARNA7_RNA,2.7555747032165527
SNORD17_RNA,2.5067803859710693
SCARNA5_RNA,2.45365834236145
SCARNA21_RNA,2.408381938934326
ZBTB20_RNA,2.1956515312194824
ZNF460_RNA,2.182321786880493
SNORA12_RNA,2.038630723953247
SNORA54_RNA,1.9264459609985352
SNORA49_RNA,1.7891992330551147
MALAT1_RNA,1.7838367223739624
SNORA5C_RNA,1.7039027214050293
SNORA74B_RNA,1.6487236022949219
KCNQ1OT1_RNA,1.5969101190567017
SNORA74A_RNA,1.555163025856018
SNORA47_RNA,1.5326874256134033
NBEAL1_RNA,1.4749102592468262
POU5F2_RNA,1.4418532848358154
SNORD15B_RNA,1.4191550016403198
TET1_RNA,1.3863308429718018
SNORD94_RNA,1.3714513778686523
SNORA53_RNA,1.342215657234192
PCDHGA8_RNA,1.3401212692260742
PLAC4_RNA,1.311647653579712
SNORA80B_RNA,1.3030598163604736
TMPPE_RNA,1.2575956583023071
ANKRD36B_RNA,1.2556605339050293
TTN_RNA,1.2366355657577515
PCA3_RNA,1.2313162088394165
SNORA7B_RNA,1.2079826593399048
ZNF221_RNA,1.1962864398956299
TAS2R3_RNA,1.1940581798553467
SNORA37_RNA,1.1750447750091553
CCDC7_RNA,1.1496564149856567
ZNF573_RNA,1.1120929718017578
FLJ42393_RNA,1.0866681337356567
KLHL11_RNA,1.085744857788086
MIR125B1_RNA,1.0805145502090454
MED12L_RNA,1.0714038610458374
ANGPTL3_RNA,1.063298225402832
SYCP3_RNA,1.061306357383728
SHPRH_RNA,1.0513232946395874
SNORA28_RNA,1.0320178270339966
PCDHB11_RNA,1.0216190814971924
SNORA38B_RNA,1.019083857536316
SNORA5A_RNA,1.0190430879592896
LRP1B_RNA,1.0170395374298096
FAT3_RNA,0.9993445873260498
RAPH1_RNA,0.9977511763572693
BTBD18_RNA,0.9892841577529907
ZNF124_RNA,0.9823108911514282
KCNJ13_RNA,0.979646623134613
SLC10A1_RNA,0.973858118057251
BIRC6_RNA,0.9715349078178406
NEAT1_RNA,0.9600731134414673
RNU6ATAC_RNA,0.9583459496498108
TAS2R50_RNA,0.9538867473602295
SNORA38_RNA,0.952769935131073
TREH_RNA,0.9464306235313416
LOC100131496_RNA,0.9435282945632935
ADAM32_RNA,0.938377857208252
DST_RNA,0.9371071457862854
MATR3_RNA,0.9359240531921387
USP37_RNA,0.928955078125
REL_RNA,0.9267702102661133
MIR9-1_RNA,0.9256042242050171
HELB_RNA,0.9250993728637695
ALMS1_RNA,0.9245011210441589
ABCA1_RNA,0.9206917881965637
MGA_RNA,0.9193674921989441
SCARNA3_RNA,0.9152901768684387
