ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,Factor
GO:0007259,cell surface receptor signaling pathway via JAK-STAT,117,-0.5495713727347964,-1.883071010014832,1.854413518652414e-7,2.2342691910215376e-6,NA,2117,"tags=36%, list=14%, signal=31%",3952/132299/7132/22876/6773/3717/602/5771/54625/857/8651/815/8784/2185/1950/6776/133396/10019/85480/23529/958/3601/7124/2322/6778/3606/3600/5618/6775/9021/3569/5008/1436/57817/3586/3587/6347/1439/3575/1545/729230/3718,Factor2
GO:0002920,regulation of humoral immune response,39,-0.7019059432297955,-2.100516232054957,1.907810713256371e-7,2.2939792399235558e-6,NA,1511,"tags=49%, list=10%, signal=44%",1380/722/966/2627/10563/1236/725/3075/710/7124/54209/1604/5777/3553/2/718/64127/11326/1378,Factor2
GO:0043370,"regulation of CD4-positive, alpha-beta T cell differentiation",56,-0.6587146133983783,-2.0685925609029203,2.1026017410697587e-7,2.5231220892837103e-6,NA,3015,"tags=59%, list=20%, signal=47%",51561/301/2625/10892/51043/3956/4092/246778/6363/8651/864/84807/430/3561/6776/3726/941/3662/3142/80149/3594/7292/969/3606/114548/54440/64332/942/10538/3122/3566/3071/3718,Factor2
GO:0032204,regulation of telomere maintenance,99,0.45500786796846227,2.0995693370823694,2.1288309690637437e-7,2.5494777296843555e-6,NA,3585,"tags=53%, list=24%, signal=40%",9212/4751/80119/3178/3181/55135/3184/10576/65057/7203/1736/908/8607/3192/51548/7515/86/7014/25913/3183/26354/10856/4931/54984/142/5514/10574/22948/4798/10728/51377/79677/5394/79913/6950/56252/7157/7013/23137/283899/10445/10575/83444/7520/3320/54780/7528/4683/125476/8658/5609/6714,Factor2
GO:0032689,negative regulation of type II interferon production,33,-0.7233324744009912,-2.096286858912507,2.1405745355040015e-7,2.5584146848343828e-6,NA,2339,"tags=61%, list=16%, signal=51%",257101/5621/8993/9173/29126/558/6504/80149/171389/7292/80380/3624/10225/11006/7805/84868/64127/10859/3586/1378,Factor2
GO:0044771,meiotic cell cycle phase transition,13,0.8640081919883789,2.4470795529704943,2.1547063280813473e-7,2.5650448240267196e-6,NA,265,"tags=62%, list=2%, signal=61%",7272/993/991/9133/995/9088/10403/11130,Factor2
GO:1905521,regulation of macrophage migration,41,-0.6943044260983241,-2.085557448559796,2.1526116707174883e-7,2.5650448240267196e-6,NA,2743,"tags=59%, list=18%, signal=48%",64805/11117/4323/1588/1435/57509/5025/146433/2185/1524/1265/6504/59341/5795/54209/131450/6352/728/719/1436/56833/1240/7057/729230,Factor2
GO:0006367,transcription initiation at RNA polymerase II promoter,143,0.4034899449122419,1.946992492114893,2.1865439837285939e-7,2.5977707448831167e-6,NA,4349,"tags=54%, list=29%, signal=39%",1870/29028/1019/4150/9656/7067/27005/3146/6602/6944/6597/4221/26155/1482/9862/10923/11091/6879/2963/328/6874/29117/6598/2962/9442/5436/10025/5253/6908/9477/29079/8493/81857/22976/6877/90390/10432/6927/5469/10629/8289/5433/2958/7157/5438/4331/9441/1871/55588/23493/56848/6878/219541/6882/80227/9070/6837/4968/56998/55090/170506/2071/2068/5929/55795/55832/221656/6873/1810/84661/1386/2957/84656/80306/9412/2308/6883,Factor2
GO:0043368,positive T cell selection,46,-0.6703161342537478,-2.050950903519091,2.2073733769131002e-7,2.6173141469112476e-6,NA,1931,"tags=43%, list=13%, signal=38%",5771/4063/6776/6693/1540/3662/917/916/3594/3570/969/6778/915/972/9021/387357/3569/10538/1794/3718,Factor2
GO:0060260,regulation of transcription initiation by RNA polymerase II,73,0.5045350170927096,2.235154546089885,2.2892208424582257e-7,2.708986882085219e-6,NA,4817,"tags=64%, list=32%, signal=44%",1019/9656/7067/3146/1482/9862/10923/6879/6874/9442/10025/6908/9477/29079/8493/81857/22976/6877/90390/6927/5469/2958/7157/9441/55588/23493/6878/219541/6882/6837/56998/55090/170506/55795/55832/6873/2957/80306/9412/2308/6883/10001/6880/6928/9968/9969/51003,Factor2
GO:0006352,DNA-templated transcription initiation,178,0.3618451946615801,1.791546719454279,2.3406241828484239e-7,2.7643419202968736e-6,NA,4295,"tags=51%, list=29%, signal=37%",1870/29028/1019/4150/9656/7067/27005/3146/6602/6944/6597/4221/26155/1482/9328/9862/10923/57106/11091/5442/6879/2963/328/51616/6874/9329/29117/6598/2962/9442/5436/10025/5253/6908/7343/9477/29079/23054/8467/8493/9774/64425/81857/22976/6877/90390/10432/9013/6927/5469/10629/51773/8289/7019/5433/2958/7157/5438/4331/9441/1871/55588/23493/56848/6878/219541/6882/80227/9014/9070/6837/4968/56998/55090/2972/170506/2071/2068/5929/55795/55832/221656/6873/1810/84661/1386/2957/84656/80306/9412/2308,Factor2
GO:0007229,integrin-mediated signaling pathway,103,-0.5635606361853981,-1.9108026608125543,2.5353198235747306e-7,2.9883769754798006e-6,NA,3652,"tags=52%, list=24%, signal=40%",667/3915/2316/8482/335/1307/81031/8754/27329/10077/3987/3672/8515/2013/7094/7070/959/3688/683/3685/3681/3673/8516/2185/3690/22801/9358/634/4627/3693/57126/3695/3675/2268/3908/84106/3676/3680/3687/8829/3678/9510/3912/83706/2335/7006/3689/1281/6850/5341/3055/7409/3684/7076,Factor2
GO:0001959,regulation of cytokine-mediated signaling pathway,157,-0.5154651438446446,-1.8000735711687879,2.554773296572056e-7,3.0053789803768916e-6,NA,2694,"tags=34%, list=18%, signal=29%",3574/10062/51208/353376/10555/2672/246330/4938/81030/7132/117854/6773/5771/54625/857/1435/4982/25939/7852/841/11240/1540/284/8877/834/10019/59307/85480/3557/558/7294/7444/114769/171389/9353/837/958/5468/7128/54209/7850/5777/9641/29108/972/6586/6352/7805/146722/3569/11213/6850/54502/3554,Factor2
