gene,score
ZNF560_RNA,0.4832797348499298
FREM3_RNA,0.4717632234096527
ZNF492_RNA,0.4449240267276764
ZC3H12B_RNA,0.4430290758609772
ZNF208_RNA,0.4360794425010681
ZNF98_RNA,0.43382880091667175
KCNJ9_RNA,0.4052048325538635
RANBP17_RNA,0.4050639867782593
SLC25A21_RNA,0.39710527658462524
TMEFF2_RNA,0.38992249965667725
CSDC2_RNA,0.38744544982910156
EPHB1_RNA,0.3870207369327545
SGCD_RNA,0.36456233263015747
MIPOL1_RNA,0.36303645372390747
GLIS1_RNA,0.362753689289093
TACR1_RNA,0.36227473616600037
FGF17_RNA,0.36217382550239563
GDNF_RNA,0.3585112392902374
NKAIN1_RNA,0.3549714982509613
BASP1_RNA,0.3527320921421051
REPS2_RNA,0.34756648540496826
ADAMTS20_RNA,0.34509050846099854
DSCAML1_RNA,0.34328317642211914
ABHD6_RNA,0.34232479333877563
KCNH8_RNA,0.3374289572238922
SLCO5A1_RNA,0.33662012219429016
ZNF488_RNA,0.3354986310005188
DNM3_RNA,0.33381038904190063
ADCY5_RNA,0.3324674069881439
RAB33A_RNA,0.33174964785575867
IL1RAPL1_RNA,0.3265746235847473
NMUR2_RNA,0.3255684971809387
MEX3B_RNA,0.31868091225624084
PCSK6_RNA,0.31862303614616394
IRX2_RNA,0.3181525468826294
AMOTL2_RNA,0.31588342785835266
FAM133A_RNA,0.312330961227417
ZNF727_RNA,0.3112603724002838
NTN4_RNA,0.310806006193161
TKTL2_RNA,0.3099314272403717
SHISA2_RNA,0.30874544382095337
SPHKAP_RNA,0.3080615699291229
FERMT1_RNA,0.30506351590156555
AIM2_RNA,0.304988294839859
GPR179_RNA,0.3039903938770294
CSMD3_RNA,0.30262601375579834
SCUBE3_RNA,0.3012039363384247
SUSD5_RNA,0.29936695098876953
GALNT13_RNA,0.29896408319473267
VTCN1_RNA,0.2989370822906494
PHACTR3_RNA,0.29793697595596313
NR0B1_RNA,0.2973712086677551
MCF2L2_RNA,0.29587477445602417
GABRA3_RNA,0.2954109013080597
PCDHGB4_RNA,0.29470938444137573
KIF21B_RNA,0.29464417695999146
GFRA1_RNA,0.29441791772842407
MDGA2_RNA,0.2939666211605072
USP43_RNA,0.2923285961151123
ITGA9_RNA,0.2903846800327301
GNAI1_RNA,0.28804948925971985
TRAM1L1_RNA,0.2869483232498169
SYT6_RNA,0.28691527247428894
PZP_RNA,0.28618013858795166
GALNT14_RNA,0.28593283891677856
C1QL1_RNA,0.284975528717041
P2RX7_RNA,0.28469058871269226
IGFBPL1_RNA,0.2833586633205414
PAX1_RNA,0.28269726037979126
UGT8_RNA,0.28117719292640686
PLCL1_RNA,0.2796231508255005
ARHGAP22_RNA,0.2765515148639679
RBP3_RNA,0.2765447795391083
