gene,score
CD302_RNA,0.8660659193992615
TM9SF3_RNA,0.8519421219825745
HECA_RNA,0.828989565372467
LYSMD3_RNA,0.7858491539955139
LDHB_RNA,0.7560619115829468
KCTD12_RNA,0.7510939836502075
RBM27_RNA,0.7242115139961243
SDCBP_RNA,0.7229102253913879
PRRG1_RNA,0.7137945294380188
TMED7_RNA,0.7123078107833862
ZNF146_RNA,0.7100228667259216
FZD1_RNA,0.7097488641738892
ZNF22_RNA,0.7074074149131775
WDFY1_RNA,0.7014475464820862
ZNF37A_RNA,0.6949533820152283
C3AR1_RNA,0.6872814893722534
GXYLT1_RNA,0.6818600296974182
IL13RA1_RNA,0.6749522089958191
PRKAR1A_RNA,0.6683372259140015
BMI1_RNA,0.6679679155349731
FAM98B_RNA,0.663615345954895
SLC26A2_RNA,0.6596660017967224
EMB_RNA,0.6562578678131104
ANTXR2_RNA,0.6543773412704468
ZBTB33_RNA,0.6454346776008606
SOCS5_RNA,0.6433913111686707
ACTR2_RNA,0.6421121954917908
HNRNPH2_RNA,0.6407505869865417
TMX3_RNA,0.6403935551643372
KLF3_RNA,0.6386504173278809
MFSD9_RNA,0.6386170387268066
SYPL1_RNA,0.6362432837486267
ROCK2_RNA,0.6291945576667786
ATP11C_RNA,0.6254934072494507
HS2ST1_RNA,0.6253533363342285
GNAQ_RNA,0.6238645315170288
TIMP2_RNA,0.6205664277076721
CMKLR1_RNA,0.6199436187744141
SGMS2_RNA,0.6177580952644348
PDIA3_RNA,0.6172258257865906
RBPJ_RNA,0.6149743795394897
ELK3_RNA,0.6139377951622009
TLR6_RNA,0.6123029589653015
FOXO1_RNA,0.6110820770263672
UBXN2B_RNA,0.6080946326255798
UBE2D1_RNA,0.6054086089134216
OTUD1_RNA,0.6049479246139526
ZBTB10_RNA,0.6047879457473755
SLC12A2_RNA,0.6039074659347534
NR2F2_RNA,0.6038668751716614
CTSO_RNA,0.6037563681602478
SLK_RNA,0.6027043461799622
DNAJC10_RNA,0.6021360754966736
SYNCRIP_RNA,0.6016446352005005
DAB2_RNA,0.6014925837516785
SOS1_RNA,0.600014328956604
JAZF1_RNA,0.5978302955627441
VCPIP1_RNA,0.5974162817001343
ATP6V1C1_RNA,0.5922706723213196
PIK3CA_RNA,0.591069757938385
EFNB2_RNA,0.5910001397132874
TRAM1_RNA,0.5908522009849548
HNRNPUL2_RNA,0.589666485786438
CKAP4_RNA,0.5893566012382507
DYRK2_RNA,0.5891543626785278
CDV3_RNA,0.5889567732810974
SMC3_RNA,0.5886144638061523
MBNL3_RNA,0.5863499045372009
CLCN3_RNA,0.5857208967208862
MAP9_RNA,0.5848569273948669
CPD_RNA,0.5822070240974426
IL6ST_RNA,0.5816808342933655
RB1_RNA,0.5807548761367798
TMEM30A_RNA,0.5800738334655762
BNIP2_RNA,0.5793279409408569
IER3IP1_RNA,0.5789018869400024
STT3B_RNA,0.5787121057510376
DNAJC3_RNA,0.5785399079322815
EBF1_RNA,0.577365517616272
ELK4_RNA,0.5772131681442261
RNF139_RNA,0.5771597623825073
SH3PXD2B_RNA,0.5771216154098511
WIPF1_RNA,0.5765098929405212
NUCKS1_RNA,0.5759392380714417
TSKU_RNA,0.5757346749305725
NEDD1_RNA,0.574713945388794
ROBO1_RNA,0.5744252800941467
RRM2B_RNA,0.5744104981422424
GPR161_RNA,0.5742425322532654
GPR85_RNA,0.5740290880203247
UBLCP1_RNA,0.5739946961402893
RHOU_RNA,0.5738606452941895
LRP12_RNA,0.5732962489128113
SERTAD2_RNA,0.5726262927055359
UBE2W_RNA,0.5711880326271057
LRRC58_RNA,0.5704920887947083
MFSD1_RNA,0.570252001285553
ANTXR1_RNA,0.5700011253356934
YWHAG_RNA,0.5698964595794678
ARL5A_RNA,0.5690802931785583
PCYOX1_RNA,0.5690779089927673
