ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,Factor
GO:0035082,axoneme assembly,58,-0.8298057133960514,-3.383392854954768,1e-10,1.6741666666666666e-8,NA,1108,"tags=64%, list=7%, signal=59%",7320/136332/583/65999/221421/2622/57545/85478/84223/27148/644890/339829/84217/79582/8481/54970/27285/146754/26140/1767/200162/10233/54768/25876/51364/79925/64446/55036/374407/2302/345895/55329/27019/6674/56171/57639/89765,Factor7
GO:0003341,cilium movement,153,-0.6866329839371327,-3.24592924259817,1e-10,1.6741666666666666e-8,NA,1610,"tags=46%, list=11%, signal=41%",84071/202500/124637/117155/361/79659/151651/55567/7320/1770/64518/583/135138/29922/64147/55582/64800/221421/582/2622/219681/85478/84223/54585/27148/644890/114327/339829/84217/79582/122664/8481/375189/164395/144132/480/8382/54970/27285/152015/146754/26140/1767/200162/83659/10233/54768/53340/25876/51364/1768/83853/80258/79925/83894/199223/64446/7802/55036/219670/642987/345895/55329/27019/154865/56171/246176/57639/26206/158787,Factor7
GO:0001539,cilium or flagellum-dependent cell motility,130,-0.6805060495926585,-3.1767675815214815,1e-10,1.6741666666666666e-8,NA,2718,"tags=55%, list=18%, signal=46%",493/164714/147700/284076/28981/84131/5360/7141/120935/585/6652/338/261734/8701/9104/84071/202500/117155/79659/151651/55567/7320/1770/64518/583/135138/29922/64147/64800/221421/582/2622/219681/85478/84223/54585/644890/114327/339829/84217/79582/122664/375189/164395/144132/480/54970/27285/152015/146754/26140/1767/83659/10233/1768/83853/80258/79925/199223/7802/55036/219670/642987/345895/55329/27019/154865/56171/246176/57639/26206/158787,Factor7
GO:0060285,cilium-dependent cell motility,130,-0.6805060495926585,-3.1767675815214815,1e-10,1.6741666666666666e-8,NA,2718,"tags=55%, list=18%, signal=46%",493/164714/147700/284076/28981/84131/5360/7141/120935/585/6652/338/261734/8701/9104/84071/202500/117155/79659/151651/55567/7320/1770/64518/583/135138/29922/64147/64800/221421/582/2622/219681/85478/84223/54585/644890/114327/339829/84217/79582/122664/375189/164395/144132/480/54970/27285/152015/146754/26140/1767/83659/10233/1768/83853/80258/79925/199223/7802/55036/219670/642987/345895/55329/27019/154865/56171/246176/57639/26206/158787,Factor7
GO:0060294,cilium movement involved in cell motility,128,-0.680823790552004,-3.1753631051319853,1e-10,1.6741666666666666e-8,NA,2718,"tags=55%, list=18%, signal=46%",493/164714/147700/284076/28981/84131/5360/7141/120935/585/6652/338/261734/8701/9104/84071/202500/117155/79659/151651/55567/7320/1770/64518/583/135138/29922/64147/64800/221421/582/2622/219681/84223/54585/644890/114327/339829/84217/79582/122664/375189/164395/144132/480/54970/27285/152015/146754/26140/1767/83659/10233/1768/83853/80258/79925/199223/7802/55036/219670/642987/345895/55329/27019/154865/56171/246176/57639/26206/158787,Factor7
GO:0001578,microtubule bundle formation,86,-0.7016081321017986,-3.059185064172256,1e-10,1.6741666666666666e-8,NA,1108,"tags=45%, list=7%, signal=42%",7320/136332/583/65999/221421/2622/57545/85478/84223/27148/644890/339829/84217/79582/8481/51673/54970/27285/146754/26140/1767/200162/10233/54768/25876/51364/79925/64446/55036/374407/2302/345895/55329/27019/6674/56171/246176/57639/89765,Factor7
GO:0030317,flagellated sperm motility,112,-0.6692649021748429,-3.0332506271789574,1e-10,1.6741666666666666e-8,NA,2718,"tags=54%, list=18%, signal=44%",493/164714/147700/28981/84131/5360/7141/120935/585/6652/338/261734/8701/9104/84071/202500/117155/151651/7320/64518/583/135138/29922/64147/64800/2622/219681/84223/54585/644890/114327/339829/84217/79582/122664/375189/164395/144132/480/54970/27285/152015/26140/1767/83659/10233/83853/80258/79925/199223/7802/55036/219670/642987/55329/27019/154865/57639/26206/158787,Factor7
GO:0097722,sperm motility,112,-0.6692649021748429,-3.0332506271789574,1e-10,1.6741666666666666e-8,NA,2718,"tags=54%, list=18%, signal=44%",493/164714/147700/28981/84131/5360/7141/120935/585/6652/338/261734/8701/9104/84071/202500/117155/151651/7320/64518/583/135138/29922/64147/64800/2622/219681/84223/54585/644890/114327/339829/84217/79582/122664/375189/164395/144132/480/54970/27285/152015/26140/1767/83659/10233/83853/80258/79925/199223/7802/55036/219670/642987/55329/27019/154865/57639/26206/158787,Factor7
GO:0002181,cytoplasmic translation,150,0.5934507958717764,2.573569377425106,1e-10,1.6741666666666666e-8,NA,2574,"tags=51%, list=17%, signal=43%",6175/6142/6130/6193/25873/6171/3921/6234/6222/6235/6168/11224/6141/6159/7311/6209/6170/6189/6152/51386/6187/6223/6208/6136/6128/6147/6161/4736/6205/6165/6138/6232/6202/6124/6206/6203/6133/4733/6144/23521/27335/6201/6210/6129/6169/6137/6160/8666/6188/6194/8668/6227/6233/6228/6157/6155/2197/6132/6164/6143/6191/6122/4904/23057/8664/6134/9045/6224/6167/24140/6135/8891/51121/9567/6181/6156/6231,Factor7
GO:0044782,cilium organization,300,-0.4931031347765052,-2.534074074944538,1e-10,1.6741666666666666e-8,NA,1153,"tags=28%, list=8%, signal=26%",3766/7320/136332/51524/79600/64518/583/9742/85302/65999/27152/55582/57489/200728/26146/221421/8558/283232/84314/582/2622/57545/8100/85478/57560/84223/152206/6103/57728/27148/27077/23322/284001/644890/339829/84217/79582/8481/375189/144132/197335/8382/57216/54970/27285/5990/80216/152015/146754/51626/9696/84140/26140/79583/1767/200162/83659/91147/5992/10233/54768/225689/25876/51364/79925/83894/10413/4117/199223/64446/7802/51473/55036/374407/2302/345895/55329/27019/154865/6674/56171/57639/150082/89765,Factor7
GO:0060271,cilium assembly,279,-0.4977682374028991,-2.5306970340819763,1e-10,1.6741666666666666e-8,NA,1153,"tags=29%, list=8%, signal=27%",3766/7320/136332/51524/79600/64518/583/9742/85302/65999/27152/55582/57489/200728/26146/221421/8558/283232/84314/582/2622/57545/8100/85478/57560/84223/152206/6103/57728/27148/27077/23322/284001/644890/339829/84217/79582/8481/375189/144132/197335/8382/57216/54970/27285/5990/80216/146754/51626/9696/84140/26140/79583/1767/200162/83659/91147/5992/10233/54768/225689/25876/51364/79925/10413/4117/64446/7802/51473/55036/374407/2302/345895/55329/27019/154865/6674/56171/57639/89765,Factor7
GO:0099068,postsynapse assembly,79,0.6226009591353613,2.4678943073090274,1e-10,1.6741666666666666e-8,NA,2437,"tags=51%, list=16%, signal=43%",26045/3556/11178/9294/2596/65078/54413/1000/5881/57468/57622/26999/5802/114784/57502/6712/1399/4038/94030/2260/4738/78999/22871/4884/84628/57524/85358/2895/1793/25/9844/9040/5728/3360/389941/165257/144165/2048/5789/55619,Factor7
GO:0099504,synaptic vesicle cycle,210,0.5316097011937156,2.4092375392233993,1e-10,1.6741666666666666e-8,NA,3239,"tags=48%, list=22%, signal=38%",9829/23025/22999/140730/8927/9143/9900/120892/6855/8541/11069/6620/8224/1759/54413/84446/1000/5579/5864/5575/1175/57502/488/26052/6570/529/57084/9498/9783/440279/10814/9066/1212/23396/6854/91683/80331/523/5533/6804/526/1902/22871/6812/27253/5027/71/10815/1020/8871/5582/9699/22895/8120/9805/1211/9024/9751/57617/23208/112755/5728/1861/9899/26059/84251/114781/1499/1173/23191/673/60/9114/6622/537/6616/6860/5337/134957/1785/22987/9296/535/50617/1855/5663/6455/7054/10497/9892/161/51606/8851/8943/57465/274/3351/6861/5865/160,Factor7
