gene,score
BCAN_RNA,0.7031220197677612
MEX3A_RNA,0.5884718894958496
ASCL1_RNA,0.5871220827102661
SOX8_RNA,0.5846379995346069
GSX1_RNA,0.575481116771698
MYCN_RNA,0.5748599767684937
CSPG5_RNA,0.5744601488113403
HES6_RNA,0.5535836219787598
DLL3_RNA,0.5456061363220215
SHD_RNA,0.5425050258636475
HES5_RNA,0.5398783683776855
GNG4_RNA,0.5397815108299255
FXYD6_RNA,0.5336257219314575
NEU4_RNA,0.5330864191055298
SALL3_RNA,0.524962842464447
ZDHHC22_RNA,0.5149004459381104
NKAIN4_RNA,0.5143243670463562
EFNA2_RNA,0.5092341899871826
RCOR2_RNA,0.5085145831108093
SOX11_RNA,0.49701282382011414
SBK1_RNA,0.48253923654556274
MYBL2_RNA,0.4784328043460846
SOX4_RNA,0.4753633737564087
RAC3_RNA,0.4726288616657257
BTBD17_RNA,0.46752962470054626
GAS1_RNA,0.46231377124786377
NUF2_RNA,0.459125816822052
ID4_RNA,0.4577091634273529
KIFC1_RNA,0.45494428277015686
KIF15_RNA,0.44675806164741516
TOP2A_RNA,0.4463876187801361
CDCA7_RNA,0.44296738505363464
FAM181B_RNA,0.44266918301582336
FGFBP3_RNA,0.4411852955818176
SEZ6L_RNA,0.44066867232322693
CBX2_RNA,0.435621440410614
PBK_RNA,0.43552207946777344
GLCCI1_RNA,0.43050238490104675
BCL7A_RNA,0.4298810660839081
OLIG2_RNA,0.42846059799194336
KIF18B_RNA,0.42249634861946106
DLL1_RNA,0.42231422662734985
CNTFR_RNA,0.4196667969226837
UHRF1_RNA,0.4195921719074249
SPSB4_RNA,0.41875457763671875
RTKN2_RNA,0.4170975387096405
ZNF711_RNA,0.41660141944885254
KIF2C_RNA,0.4122975468635559
UBE2C_RNA,0.40940597653388977
CDCA5_RNA,0.408307284116745
SKA3_RNA,0.40823671221733093
DCX_RNA,0.4064663350582123
EMILIN3_RNA,0.40507155656814575
SPC25_RNA,0.40231919288635254
CHST9_RNA,0.40067896246910095
TPX2_RNA,0.3998495042324066
FOXM1_RNA,0.3970455229282379
NCAPH_RNA,0.39600223302841187
MCM10_RNA,0.3956283628940582
DEPDC1B_RNA,0.3945581614971161
SOX2_RNA,0.39134401082992554
AURKB_RNA,0.3900444507598877
ARC_RNA,0.38816794753074646
TTK_RNA,0.38808226585388184
GADD45G_RNA,0.38797786831855774
CENPH_RNA,0.38777250051498413
LRRN1_RNA,0.38629576563835144
CXXC4_RNA,0.38506194949150085
CKB_RNA,0.38498908281326294
CDC25A_RNA,0.3848268985748291
CACNG7_RNA,0.3820737600326538
MARCKSL1_RNA,0.38017454743385315
SNX31_RNA,0.3797151446342468
TROAP_RNA,0.37755241990089417
CDC20_RNA,0.37694087624549866
WDR62_RNA,0.3759896159172058
NEK2_RNA,0.37588346004486084
CCNB2_RNA,0.37499237060546875
LMNB1_RNA,0.3746680021286011
BIRC5_RNA,0.3738170862197876
ZNF300_RNA,0.37369218468666077
TP73_RNA,0.3733634948730469
E2F2_RNA,0.3733275234699249
VANGL2_RNA,0.37152254581451416
FLJ16779_RNA,0.3700393736362457
MYT1_RNA,0.3690810799598694
DTL_RNA,0.36833763122558594
ESCO2_RNA,0.3681328594684601
TSPAN12_RNA,0.3658405542373657
SCG3_RNA,0.36542245745658875
CDCA8_RNA,0.36324235796928406
HJURP_RNA,0.36252284049987793
CELSR3_RNA,0.36012768745422363
LMO1_RNA,0.3588106334209442
NXPH1_RNA,0.3587464988231659
CKAP2L_RNA,0.35835349559783936
CDC7_RNA,0.3582805395126343
MAD2L1_RNA,0.35793337225914
MMP16_RNA,0.35757410526275635
MYCNOS_RNA,0.35728493332862854
EXO1_RNA,0.35720929503440857
MAPT_RNA,0.3571975827217102
CDC25C_RNA,0.35684096813201904
VIPR2_RNA,0.35659259557724
DLGAP5_RNA,0.3559648096561432
COL28A1_RNA,0.3550424873828888
FANCI_RNA,0.35396233201026917
GPC2_RNA,0.3531780540943146
CDT1_RNA,0.35303667187690735
OLIG1_RNA,0.352920264005661
ESPL1_RNA,0.3522379696369171
TMEM145_RNA,0.3521614074707031
TOX3_RNA,0.3515486419200897
GINS2_RNA,0.3512648046016693
CENPF_RNA,0.35120686888694763
MCM7_RNA,0.35039740800857544
NRARP_RNA,0.35010895133018494
PKMYT1_RNA,0.3500644564628601
ASPM_RNA,0.3498579263687134
TCF7L1_RNA,0.3491259813308716
CENPA_RNA,0.3471362590789795
SLC24A3_RNA,0.3463208079338074
SPC24_RNA,0.3462141156196594
ZBTB12_RNA,0.34620434045791626
PSAT1_RNA,0.3453775644302368
ROBO2_RNA,0.34464898705482483
COL20A1_RNA,0.3446010947227478
PLK4_RNA,0.34414443373680115
CKS2_RNA,0.34377238154411316
EZH2_RNA,0.3430623710155487
GTSE1_RNA,0.34231674671173096
UBE2T_RNA,0.3398555517196655
EME1_RNA,0.3397524952888489
PLK1_RNA,0.33885878324508667
BUB1B_RNA,0.33718186616897583
CHEK1_RNA,0.33682262897491455
NCAN_RNA,0.335307776927948
CENPK_RNA,0.3353067934513092
ETV1_RNA,0.3344947397708893
EDNRB_RNA,0.3342485725879669
KCND2_RNA,0.33412426710128784
CDK1_RNA,0.333331823348999
SNCAIP_RNA,0.33295103907585144
MAP2_RNA,0.33170199394226074
MPPED2_RNA,0.3298097550868988
BUB1_RNA,0.3297754228115082
FBXO5_RNA,0.32975202798843384
MELK_RNA,0.3293420672416687
MSTN_RNA,0.3290828764438629
SOX6_RNA,0.3289221525192261
KIF22_RNA,0.32835233211517334
CCNA2_RNA,0.3283132016658783
RAD54L_RNA,0.3278304934501648
WSCD1_RNA,0.3272353410720825
ZBTB8B_RNA,0.3270350396633148
MCM2_RNA,0.32650870084762573
NCAPG_RNA,0.3257561922073364
TRIP13_RNA,0.32498934864997864
B3GAT2_RNA,0.3243597447872162
RAD51_RNA,0.32358676195144653
KIF4A_RNA,0.32322192192077637
HES4_RNA,0.3232180178165436
TTYH1_RNA,0.32285141944885254
HMGB2_RNA,0.3227483630180359
KIF14_RNA,0.32167407870292664
LINGO1_RNA,0.32063335180282593
HOXD3_RNA,0.3201332688331604
PODXL2_RNA,0.31942281126976013
FSD1_RNA,0.3190370500087738
ZNF738_RNA,0.31801968812942505
NOVA1_RNA,0.31778907775878906
MYEF2_RNA,0.3176165521144867
BRIP1_RNA,0.31706660985946655
TRIM71_RNA,0.31689000129699707
PHF21B_RNA,0.31583067774772644
RFC3_RNA,0.31389811635017395
GINS1_RNA,0.313630610704422
GAL3ST3_RNA,0.31315654516220093
IGSF9_RNA,0.3131519556045532
MXD3_RNA,0.31293612718582153
ILDR2_RNA,0.31266385316848755
KIF23_RNA,0.31118860840797424
ECT2_RNA,0.3110162615776062
CDCA3_RNA,0.3108295798301697
NLGN3_RNA,0.310591459274292
CHD7_RNA,0.30972814559936523
TRAIP_RNA,0.30926090478897095
SEZ6_RNA,0.3085916042327881
POU3F3_RNA,0.3083241581916809
TCF3_RNA,0.3079579770565033
SKA1_RNA,0.3078601360321045
RFTN2_RNA,0.3078118562698364
SOX12_RNA,0.3076227903366089
NDC80_RNA,0.30711349844932556
POU3F2_RNA,0.3067065179347992
VGF_RNA,0.30668798089027405
DSCAM_RNA,0.3062288761138916
HMGB3_RNA,0.3058178424835205
ASF1B_RNA,0.3039126396179199
KCNQ2_RNA,0.30387642979621887
DCLK2_RNA,0.3032419979572296
NKAIN1_RNA,0.30319321155548096
GRIA4_RNA,0.30271175503730774
MAST1_RNA,0.3019409775733948
ZNF22_RNA,0.30159837007522583
RAP1GAP_RNA,0.3015548884868622
DPF1_RNA,0.3011099398136139
STMN1_RNA,0.3002510368824005
EPHB3_RNA,0.30017223954200745
KLHL25_RNA,0.2997129261493683
CHAF1A_RNA,0.29937195777893066
DEPDC1_RNA,0.29885512590408325
XRCC2_RNA,0.29873958230018616
FAM83D_RNA,0.2986389994621277
PAFAH1B3_RNA,0.29860830307006836
NEIL3_RNA,0.2984871566295624
PCGF2_RNA,0.2980174720287323
TMSB15A_RNA,0.2970532774925232
TMEM97_RNA,0.2969292104244232
MMP15_RNA,0.2963259518146515
CDKN2C_RNA,0.29611924290657043
KIF11_RNA,0.2954547703266144
CACNG4_RNA,0.29534125328063965
MANEAL_RNA,0.2947385907173157
KCTD15_RNA,0.2941247820854187
SOX21_RNA,0.29409945011138916
PHGDH_RNA,0.29349982738494873
RHBDL3_RNA,0.2925616502761841
LIN9_RNA,0.2921975255012512
ZNF704_RNA,0.29201847314834595
ZNF367_RNA,0.2914867401123047
BEST3_RNA,0.29062268137931824
SIX6_RNA,0.29061266779899597
SLC26A7_RNA,0.29021286964416504
ODC1_RNA,0.28898853063583374
BRSK2_RNA,0.2883678674697876
SLIT1_RNA,0.2883608043193817
MAMLD1_RNA,0.2878718078136444
TMPO_RNA,0.28759172558784485
EGFR_RNA,0.2874392569065094
TUBB2B_RNA,0.28705883026123047
HAND2_RNA,0.2867884635925293
NEUROD1_RNA,0.28660914301872253
SPAG5_RNA,0.28631922602653503
ZNF90_RNA,0.28580930829048157
GBX2_RNA,0.2855772376060486
ELAVL3_RNA,0.2850666344165802
KLHL23_RNA,0.28388431668281555
LFNG_RNA,0.2835913896560669
FADS2_RNA,0.2833961844444275
CDK5R1_RNA,0.28308841586112976
TRIM9_RNA,0.2825595736503601
SIX1_RNA,0.2825254499912262
GSG1L_RNA,0.28206703066825867
CCDC150_RNA,0.28176218271255493
CKAP2_RNA,0.2816540598869324
CDH15_RNA,0.2813524901866913
TCF12_RNA,0.2812897562980652
ZNF311_RNA,0.28117963671684265
CRMP1_RNA,0.2805790901184082
FANCD2_RNA,0.2802508771419525
RIMS4_RNA,0.2802433669567108
CCNB1_RNA,0.27980920672416687
RECQL4_RNA,0.2774540185928345
ZWINT_RNA,0.2768964171409607
GPSM2_RNA,0.27684304118156433
PTTG1_RNA,0.27678382396698
CHTF18_RNA,0.27677085995674133
KIF18A_RNA,0.27670127153396606
ZNF853_RNA,0.2764349579811096
ASB5_RNA,0.27565231919288635
GMNN_RNA,0.2755087614059448
OIP5_RNA,0.27472731471061707
NMU_RNA,0.2744887173175812
DBF4_RNA,0.27421247959136963
KLF15_RNA,0.27372485399246216
RAD51AP1_RNA,0.273684024810791
DIAPH3_RNA,0.27256011962890625
PCMTD2_RNA,0.2722567319869995
GPM6A_RNA,0.27224108576774597
ANKRD13B_RNA,0.2720896303653717
EBF4_RNA,0.27110299468040466
CDK2_RNA,0.2700895071029663
REEP1_RNA,0.269939124584198
DPP6_RNA,0.2696763575077057
PSIP1_RNA,0.2683155834674835
MNS1_RNA,0.2680397033691406
MCM4_RNA,0.26783618330955505
PCDH15_RNA,0.2677094638347626
C3orf70_RNA,0.2676851153373718
TMEM108_RNA,0.26755285263061523
RASL10B_RNA,0.26749566197395325
NMB_RNA,0.2674541473388672
IL17D_RNA,0.26659587025642395
PRPF38A_RNA,0.26657137274742126
NT5DC2_RNA,0.26637157797813416
NCAPG2_RNA,0.26631686091423035
LAPTM4B_RNA,0.2659966051578522
MKI67_RNA,0.26570194959640503
NKX3-2_RNA,0.26553094387054443
SCRT2_RNA,0.26541244983673096
RPRM_RNA,0.26526176929473877
TSPAN18_RNA,0.2651444673538208
SOX15_RNA,0.265118271112442
CCNB1IP1_RNA,0.26504307985305786
ZFP37_RNA,0.2650338113307953
TIMELESS_RNA,0.26419946551322937
FBN3_RNA,0.2638568878173828
