gene,score
LPCAT3_RNA,0.10252220928668976
PCCA_RNA,0.09820849448442459
MTA1_RNA,0.09813880175352097
PTPRA_RNA,0.09770658612251282
TAPBPL_RNA,0.09646286070346832
TOX4_RNA,0.09179507195949554
SLC20A2_RNA,0.08973754197359085
TLK1_RNA,0.08940721303224564
TTC7B_RNA,0.08831840008497238
MAN2C1_RNA,0.08808593451976776
YLPM1_RNA,0.08803068101406097
SLC2A4_RNA,0.08757632225751877
RPL13P5_RNA,0.08683810383081436
TTC23_RNA,0.0857558473944664
ALDH3A2_RNA,0.08549151569604874
ARHGEF10L_RNA,0.08543816953897476
OXA1L_RNA,0.08444427698850632
APBA2_RNA,0.08384102582931519
ATXN7L2_RNA,0.08328387141227722
CAND2_RNA,0.08230245858430862
SLC25A29_RNA,0.0821501761674881
MANEAL_RNA,0.08192314952611923
SOX9_RNA,0.08187716454267502
RGL1_RNA,0.08172342926263809
NSMAF_RNA,0.08145608007907867
ZFYVE1_RNA,0.08141882717609406
EBF4_RNA,0.0813860073685646
CECR2_RNA,0.08133366703987122
FOXP1_RNA,0.08094403147697449
LY86_RNA,0.08084000647068024
CPVL_RNA,0.08079424500465393
RFTN2_RNA,0.0805579349398613
TP53_RNA,0.08007755130529404
CYP2E1_RNA,0.07948701828718185
ZFYVE26_RNA,0.07921427488327026
ATP9A_RNA,0.07907257974147797
PEPD_RNA,0.07896262407302856
ATP11A_RNA,0.07854025810956955
DLST_RNA,0.07834271341562271
ATRN_RNA,0.07741085439920425
LIN52_RNA,0.07715114951133728
BMPR1B_RNA,0.076932892203331
BCL2L2_RNA,0.07691130042076111
B4GALT5_RNA,0.07686568051576614
MYO18A_RNA,0.07684621959924698
NPBWR1_RNA,0.0766940489411354
CUX1_RNA,0.07659867405891418
TCF12_RNA,0.07636599987745285
METTL3_RNA,0.0763230100274086
KCTD12_RNA,0.07605817914009094
SLC22A17_RNA,0.07516342401504517
CYP46A1_RNA,0.07503796368837357
PLIN3_RNA,0.0749099999666214
ABCD4_RNA,0.07482024282217026
FBXO44_RNA,0.0746002048254013
TBCK_RNA,0.07438191026449203
PRMT5_RNA,0.07399996370077133
LILRA1_RNA,0.07363374531269073
GMPR2_RNA,0.07344263792037964
IDUA_RNA,0.07343082875013351
PRTG_RNA,0.07342486083507538
HECTD1_RNA,0.07340343296527863
SECISBP2L_RNA,0.07334631681442261
ZNF592_RNA,0.07309466600418091
ATXN7L1_RNA,0.07296165823936462
ZFP36L2_RNA,0.07291845977306366
SUPT16H_RNA,0.0728946179151535
AXL_RNA,0.07281936705112457
SMAD1_RNA,0.07272070646286011
ZNF362_RNA,0.07216466963291168
WNK1_RNA,0.07205220311880112
AP4S1_RNA,0.07196862250566483
MTA3_RNA,0.0717717856168747
EPHB4_RNA,0.07162652909755707
USP3_RNA,0.07147126644849777
BCAM_RNA,0.07138028740882874
PHB2_RNA,0.071279376745224
DAPK1_RNA,0.0712687075138092
FIS1_RNA,0.07117844372987747
CDK14_RNA,0.07117144018411636
LRP10_RNA,0.07116790115833282
LPAR5_RNA,0.07108087092638016
PDE8A_RNA,0.0709003135561943
ADAM10_RNA,0.07088448107242584
SLC2A4RG_RNA,0.07087238878011703
ARHGEF17_RNA,0.07086791098117828
MAST3_RNA,0.07082760334014893
DPF3_RNA,0.07079508900642395
UBQLN4_RNA,0.07055957615375519
RALGAPA1_RNA,0.07049687951803207
TLN2_RNA,0.07009807974100113
SALL2_RNA,0.0700501799583435
PABPC1_RNA,0.07000957429409027
MTMR10_RNA,0.06997100263834
KLHDC1_RNA,0.0698276087641716
SLC12A9_RNA,0.06970859318971634
PDK2_RNA,0.06958809494972229
RABGGTA_RNA,0.06936941295862198
AGPAT2_RNA,0.06934656947851181
CPEB1_RNA,0.06925699859857559
PACS2_RNA,0.06870593130588531
DCAF11_RNA,0.06869439780712128
TM9SF1_RNA,0.0686466321349144
AMIGO1_RNA,0.06857937574386597
KLHL25_RNA,0.06855189800262451
CPSF2_RNA,0.06824231892824173
NGRN_RNA,0.06823626905679703
CCDC85A_RNA,0.06819819658994675
CLIP3_RNA,0.06817319244146347
MAP2K5_RNA,0.06814531981945038
ACIN1_RNA,0.06801740825176239
PGAP3_RNA,0.0677170604467392
CSF1R_RNA,0.06767971813678741
VPS13C_RNA,0.0676644816994667
MLF2_RNA,0.0676194429397583
USP5_RNA,0.06761176139116287
OR3A2_RNA,0.06734952330589294
KLHDC2_RNA,0.06717611104249954
RNF39_RNA,0.06716737151145935
AP3S2_RNA,0.06716369092464447
TRMT61A_RNA,0.06704208254814148
ZMIZ2_RNA,0.0669795349240303
TUBGCP3_RNA,0.06690189242362976
MOAP1_RNA,0.06680218130350113
CHD2_RNA,0.06668892502784729
PSMB5_RNA,0.06657031178474426
IGFL4_RNA,0.06656177341938019
HMG20A_RNA,0.06636301428079605
SPAG9_RNA,0.06630004197359085
PNMA1_RNA,0.06628426909446716
STK3_RNA,0.06625180691480637
EXD3_RNA,0.06605552136898041
NUDCD3_RNA,0.06604524701833725
DOCK4_RNA,0.06589359045028687
JAM2_RNA,0.06587991118431091
NPM3_RNA,0.06587196886539459
RPL4_RNA,0.06571439653635025
KTN1_RNA,0.06548891216516495
NR3C2_RNA,0.06519927084445953
ABLIM1_RNA,0.06509138643741608
ITPK1_RNA,0.06495983898639679
TCF3_RNA,0.06493256986141205
PABPN1_RNA,0.06491035968065262
COG5_RNA,0.06476718932390213
HAUS4_RNA,0.064754419028759
OCLN_RNA,0.06473691016435623
DPY19L3_RNA,0.06471289694309235
ZBTB46_RNA,0.06454969942569733
DKKL1_RNA,0.06441958993673325
BRF1_RNA,0.06440630555152893
PEX11A_RNA,0.06429186463356018
LILRB1_RNA,0.06425229460000992
UBE2Q2_RNA,0.06415439397096634
CRIM1_RNA,0.06408043950796127
TJP3_RNA,0.0639318972826004
EFNA2_RNA,0.06383179873228073
PPP2R5C_RNA,0.06382850557565689
ATN1_RNA,0.06364858150482178
