gene,score
CHI3L1_RNA,0.9843598008155823
NNMT_RNA,0.8751956820487976
S100A4_RNA,0.7458857297897339
SERPINE1_RNA,0.728884756565094
TGFBI_RNA,0.7245931029319763
TNFRSF12A_RNA,0.7156676650047302
S100A6_RNA,0.7061020135879517
SRPX2_RNA,0.7059807181358337
SOCS3_RNA,0.6889824867248535
TIMP1_RNA,0.6889256834983826
LGALS3_RNA,0.6844566464424133
EMP3_RNA,0.6778979301452637
IGFBP2_RNA,0.6752493381500244
GDF15_RNA,0.6741794943809509
IBSP_RNA,0.6681710481643677
LGALS1_RNA,0.6661847829818726
PCOLCE_RNA,0.661567747592926
TREM1_RNA,0.6613953113555908
ANXA2_RNA,0.6599278450012207
S100A11_RNA,0.6554006934165955
TAGLN2_RNA,0.6534268260002136
LIF_RNA,0.6440327167510986
VSIG4_RNA,0.6415615677833557
PLAU_RNA,0.6412948966026306
SRPX_RNA,0.641192615032196
CLIC1_RNA,0.6347560882568359
SERPINA1_RNA,0.6336101293563843
MT2A_RNA,0.6323453783988953
CSTA_RNA,0.6288906335830688
CHRNA9_RNA,0.6251999735832214
COL6A2_RNA,0.6182103157043457
ST14_RNA,0.6167310476303101
VAMP8_RNA,0.6149347424507141
FMOD_RNA,0.6135579347610474
CCL2_RNA,0.6125099658966064
PTX3_RNA,0.6104837656021118
EMP1_RNA,0.6069416403770447
HOXB7_RNA,0.6049440503120422
CD163_RNA,0.6045891046524048
S100A10_RNA,0.603633463382721
CEBPD_RNA,0.6034413576126099
CD63_RNA,0.6024691462516785
ARSI_RNA,0.6023560166358948
VAMP5_RNA,0.601035475730896
ABCC3_RNA,0.6002098321914673
POSTN_RNA,0.5991888642311096
TNFAIP6_RNA,0.5979705452919006
FZD7_RNA,0.5965850353240967
C1R_RNA,0.5963366627693176
SPOCD1_RNA,0.5853704214096069
FBLIM1_RNA,0.584861159324646
PRDX4_RNA,0.5803831219673157
RAB20_RNA,0.5759998559951782
SLPI_RNA,0.575650691986084
TMEM158_RNA,0.5752586722373962
PLAUR_RNA,0.5751980543136597
TYROBP_RNA,0.5750926733016968
FPR1_RNA,0.5726668238639832
STEAP3_RNA,0.57261061668396
ALOX5AP_RNA,0.5719578266143799
CA12_RNA,0.5698351860046387
MEOX2_RNA,0.5681585669517517
BCL3_RNA,0.5669534206390381
PLP2_RNA,0.5667464137077332
NKX2-5_RNA,0.5663844347000122
MRC2_RNA,0.5645167827606201
SERTAD1_RNA,0.5632103681564331
UPP1_RNA,0.5620003342628479
SRGN_RNA,0.560752809047699
MMP19_RNA,0.5587440729141235
MS4A4A_RNA,0.55853670835495
TMSB10_RNA,0.5569250583648682
HSPB1_RNA,0.5564964413642883
CARD16_RNA,0.5557951331138611
SLC16A3_RNA,0.5547234416007996
S100A9_RNA,0.5546922087669373
CD14_RNA,0.5540865659713745
SERPINH1_RNA,0.5537927746772766
CNN2_RNA,0.5529588460922241
LOXL2_RNA,0.5525318384170532
C5AR1_RNA,0.5498447418212891
NPC2_RNA,0.5493291616439819
GPX1_RNA,0.5491229891777039
SPP1_RNA,0.5488196611404419
SLC11A1_RNA,0.545939028263092
NAMPT_RNA,0.5439780354499817
CLCF1_RNA,0.5423285961151123
CNIH3_RNA,0.5415655970573425
ADM_RNA,0.5410822629928589
CCL20_RNA,0.5388764142990112
LRRN4CL_RNA,0.5383651852607727
MMP14_RNA,0.5382875800132751
FAM20C_RNA,0.5371144413948059
IGFBP3_RNA,0.5352310538291931
FOSL1_RNA,0.5339881181716919
VDR_RNA,0.532825767993927
PLIN2_RNA,0.531055212020874
PDPN_RNA,0.5280744433403015
TEAD2_RNA,0.5277854800224304
C1QA_RNA,0.5272989273071289
PI3_RNA,0.5269020199775696
EFEMP1_RNA,0.5265703201293945
THBS1_RNA,0.5258040428161621
C1QC_RNA,0.5232662558555603
C1QB_RNA,0.5218350887298584
SLC22A18_RNA,0.51976776123046875
CD44_RNA,0.5197027325630188
RGS1_RNA,0.5193349123001099
TSPO_RNA,0.5192505717277527
CPVL_RNA,0.5191608667373657
FCER1G_RNA,0.5179528594017029
C1S_RNA,0.5175973176956177
CYBA_RNA,0.5165978074073792
EMILIN1_RNA,0.5147675275802612
ADAM8_RNA,0.5141636729240417
CXCR4_RNA,0.5126368403434753
ANXA1_RNA,0.5121002793312073
ITGA5_RNA,0.5110587477684021
AGPAT2_RNA,0.5107535719871521
S100A8_RNA,0.5102416276931763
CTSB_RNA,0.5096983909606934
COL5A1_RNA,0.5072727203369141
IL2RA_RNA,0.506355345249176
PROS1_RNA,0.5055550932884216
MSR1_RNA,0.5053257346153259
TGFB1I1_RNA,0.5049039125442505
CASP4_RNA,0.5029317140579224
SAA1_RNA,0.5005646347999573
IGFBP7_RNA,0.49977970123291016
PRF1_RNA,0.4991297721862793
RRAS_RNA,0.4982900023460388
CD300A_RNA,0.4978637099266052
EIF4EBP1_RNA,0.4976361095905304
FCGR2A_RNA,0.4969852566719055
RPS18_RNA,0.49663329124450684
EREG_RNA,0.4960225820541382
LY96_RNA,0.4940614104270935
EFEMP2_RNA,0.4939286708831787
MMP7_RNA,0.4931296408176422
OSM_RNA,0.4926685094833374
ALOX15B_RNA,0.49186691641807556
MS4A6A_RNA,0.4917460083961487
CDKN1A_RNA,0.4914338290691376
SEC61G_RNA,0.49049675464630127
ZYX_RNA,0.48903751373291016
MDK_RNA,0.48841193318367004
IGFBP4_RNA,0.48776647448539734
CD48_RNA,0.4876185655593872
ITGA3_RNA,0.4873606562614441
PLTP_RNA,0.4858889877796173
PYGL_RNA,0.48367226123809814
HOXB3_RNA,0.4836660921573639
FCGBP_RNA,0.48358112573623657
CLDN23_RNA,0.4830928146839142
EHD2_RNA,0.48301205039024353
NOP10_RNA,0.48209404945373535
THBD_RNA,0.48149168491363525
RHOC_RNA,0.4813194274902344
TUBA1C_RNA,0.4805736541748047
ANPEP_RNA,0.4802732765674591
VMO1_RNA,0.47970646619796753
TNFRSF1A_RNA,0.4795531928539276
SIGLEC7_RNA,0.47925233840942383
S100A16_RNA,0.47924327850341797
PLBD1_RNA,0.47902292013168335
SECTM1_RNA,0.4788629710674286
GMFG_RNA,0.4779911935329437
SLAMF8_RNA,0.477213591337204
PLOD1_RNA,0.4767135977745056
PLA2G2A_RNA,0.4760836958885193
COL6A1_RNA,0.4758206605911255
PPIB_RNA,0.4750591218471527
ISG20_RNA,0.4749731719493866
PYCARD_RNA,0.47496822476387024
LAMB1_RNA,0.4741482436656952
TMSB4X_RNA,0.47390344738960266
BATF3_RNA,0.4738602340221405
RPS3A_RNA,0.47338178753852844
SHC1_RNA,0.47286364436149597
APOBEC3G_RNA,0.4727019965648651
RPL35_RNA,0.4719805121421814
ATF3_RNA,0.47180336713790894
TMEM176B_RNA,0.4710301458835602
CEBPB_RNA,0.47094079852104187
SNAI2_RNA,0.4707213342189789
COL3A1_RNA,0.4706321358680725
GNA15_RNA,0.47003060579299927
F13A1_RNA,0.46946674585342407
COL5A2_RNA,0.46917736530303955
IFI16_RNA,0.46900540590286255
CD248_RNA,0.46823805570602417
GADD45A_RNA,0.4681728482246399
SERINC2_RNA,0.46773725748062134
MREG_RNA,0.4676407277584076
RNASE6_RNA,0.467494934797287
IL1RAP_RNA,0.46730121970176697
