ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,factor
GO:0042274,ribosomal small subunit biogenesis,91,0.625552425869704,2.9978822038549975,1e-10,6.196306922588289e-9,NA,2083,"tags=51%, list=14%, signal=44%",25879/55813/55781/4869/10436/8780/25926/23160/84128/6210/6202/30836/153443/79954/6223/84135/11157/10885/3921/6189/6232/51096/29777/51504/56902/6233/134430/7520/6205/51602/11056/51065/6201/6193/6230/51077/6191/55127/6208/6207/6206/84294/6203/83732/2197/55720,F6
GO:0002181,cytoplasmic translation,150,0.5659871381554858,2.946598957181965,1e-10,6.196306922588289e-9,NA,3248,"tags=58%, list=22%, signal=46%",3646/6139/6170/4690/1968/6135/10605/6210/9349/6202/2107/6133/200916/6223/6129/6154/6161/6224/3921/6157/6189/6232/6144/23521/6222/6136/6204/6233/6125/6165/25873/6205/6142/7555/8894/6201/6193/8891/6167/9045/6230/6152/6191/6175/6169/51121/6143/6188/8668/6130/28985/6164/6171/6159/6208/6207/6141/6168/6206/24140/6203/6235/4736/6181/2197/6134/55854/11224/7812/4733/6194/6187/8664/6231/51441/6234/6155/6218/7311/6156/221120/6128/6138/6147/8667/6451/6160,F6
GO:0042254,ribosome biogenesis,261,0.514611096802562,2.8813755590097574,1e-10,6.196306922588289e-9,NA,2791,"tags=46%, list=19%, signal=38%",25879/55813/51068/55299/55781/4869/90459/10436/8780/25926/51388/29889/64216/2483/23160/84154/83939/9188/84128/6135/29063/8886/84549/6210/63899/55003/6202/23029/30836/153443/4927/23016/79954/51187/6223/6129/84135/11340/10412/6154/11157/55027/10885/3921/6189/51106/54663/80135/6232/51096/29777/10360/23378/22868/51504/56902/6233/134430/6125/6165/7520/6205/10556/387338/51602/11056/55505/2971/51065/6201/6193/5393/51013/9045/6230/51077/6152/9775/6191/51018/6169/90441/55127/7514/51121/4931/6130/22894/29081/55646/1662/6208/22803/6207/6206/55759/84294/10557/9816/6203/51491/23560/83732/2197/55720/5303/3669/11224/8450/6194/51202/55006/25983/55011/56915/85865/51441/6234/6155/6218/708,F6
GO:0050804,modulation of chemical synaptic transmission,470,-0.5742638494533763,-2.797274928008996,1e-10,6.196306922588289e-9,NA,2766,"tags=48%, list=18%, signal=40%",6547/9581/9378/4983/6780/2906/6376/6507/27092/55607/134957/23208/1392/7533/79772/10458/27091/177/81832/43/2900/2534/7532/57282/952/6865/59284/26050/5532/5595/84966/5802/9229/5152/3786/22999/81539/4915/84866/999/9699/2918/23657/10675/2904/2648/134/253980/9693/2894/27020/4208/2917/3092/6900/22839/785/5334/4355/2905/140730/10013/107/8499/85445/1627/5601/4204/127833/6536/3776/9498/9746/2166/1760/5048/5534/25769/91683/26232/259232/5649/1129/64854/22987/1855/114781/140689/4756/91851/5999/84628/7143/9513/388336/22849/9381/3351/5577/3356/9495/9899/9066/57555/8938/6844/869/794/5270/4747/8224/9211/5581/440279/5530/8526/5579/23613/64101/5621/29882/4130/729993/2903/152330/1395/54413/1816/5590/347730/4137/5789/9254/9118/477/22941/116443/23096/59283/2915/4744/84502/57497/2185/321/6860/1142/147381/5786/57338/5335/488/10718/6792/79012/3706/112476/65018/57537/2911/729956/10814/6857/6623/11170/816/6622/3745/2914/1141/23316/57465/5924/320/6853/815/127262/9463/5575/9379/774/6616/10368/28964/1759/818/2912/3766/84446/8831/2913/1742/22883/10858/9783/2902/10369/6855/4761/5582/5923/5864/9228/6861/6543/10815/6804/23025/613/1812/23542/2775/6812/56301/766/50944/29/8927/112755/1128/8541/2550/9145/6529/23154/85358,F6
GO:0099177,regulation of trans-synaptic signaling,471,-0.5731926246880312,-2.7919992099870523,1e-10,6.196306922588289e-9,NA,2766,"tags=48%, list=18%, signal=40%",6547/9581/9378/4983/6780/2906/6376/6507/27092/55607/134957/23208/1392/7533/79772/10458/27091/177/81832/43/2900/2534/7532/57282/952/6865/59284/26050/5532/5595/84966/5802/9229/5152/3786/22999/81539/4915/84866/999/9699/2918/23657/10675/2904/2648/134/253980/9693/2894/27020/4208/2917/3092/6900/22839/785/5334/4355/2905/140730/10013/107/8499/85445/1627/5601/4204/127833/6536/3776/9498/9746/2166/1760/5048/5534/25769/91683/26232/259232/5649/1129/64854/22987/1855/114781/140689/4756/91851/5999/84628/7143/9513/388336/22849/9381/3351/5577/3356/9495/9899/9066/57555/8938/6844/869/794/5270/4747/8224/9211/5581/440279/5530/8526/5579/23613/64101/5621/29882/4130/729993/2903/152330/1395/54413/1816/5590/347730/4137/5789/9254/9118/477/22941/116443/23096/59283/2915/4744/84502/57497/2185/321/6860/1142/147381/5786/57338/5335/488/10718/6792/79012/3706/112476/65018/57537/2911/729956/10814/6857/6623/11170/816/6622/3745/2914/1141/23316/57465/5924/320/6853/815/127262/9463/5575/9379/774/6616/10368/28964/1759/818/2912/3766/84446/8831/2913/1742/22883/10858/9783/2902/10369/6855/4761/5582/5923/5864/9228/6861/6543/10815/6804/23025/613/1812/23542/2775/6812/56301/766/50944/29/8927/112755/1128/8541/2550/9145/6529/23154/85358,F6
GO:0016079,synaptic vesicle exocytosis,96,-0.663434533141086,-2.7660524942025164,1e-10,6.196306922588289e-9,NA,2065,"tags=56%, list=14%, signal=49%",22999/9699/93664/10675/785/140730/8499/127833/9498/91683/22895/143425/22987/1855/9381/3351/9899/9066/6844/440279/23513/5579/6860/9900/488/112476/27445/10814/6857/6622/23396/6853/127262/8867/6616/28964/84446/9143/9783/63908/6855/8447/5582/5864/6861/10815/6804/80331/23025/6812/112755/8541/8448/9751,F6
GO:0022613,ribonucleoprotein complex biogenesis,373,0.4736222506678066,2.7618380335269017,1e-10,6.196306922588289e-9,NA,2301,"tags=39%, list=15%, signal=34%",25879/3646/10978/55813/51068/55299/55781/4869/90459/10436/1968/8780/25926/51388/29889/64216/55164/11218/2483/23160/84154/83939/9188/84128/6135/29063/79753/8886/84549/6210/63899/55003/6202/23029/30836/153443/4927/51634/23016/79954/51187/6223/6129/84135/84811/11340/10412/6154/8575/11157/6637/55027/10885/3921/6189/51106/54663/80135/6232/51096/23521/29777/26824/79833/10360/23378/22868/51504/56902/6632/6233/134430/23451/6125/6165/7520/6205/10556/387338/51602/11056/55505/2971/8894/51065/96764/6628/6201/6193/6635/5393/84844/51013/9045/6230/51077/6152/100151683/9775/6191/51018/8559/6169/90441/55127/7514/6880/51121/4931/8668/6130/22894/29081/28985/55646/1662/6208/1207/22803/6207/6206/55759/79084/6629/84294/10557/83443/9816/6203/51491/23560/83732/2197/6633/55720/10946/5303/3669/11224/55015/57819/8450/6194/51202,F6
GO:0006364,rRNA processing,189,0.5080262553235211,2.7441294370461953,1e-10,6.196306922588289e-9,NA,2777,"tags=46%, list=18%, signal=38%",25879/55813/55299/55781/90459/10436/8780/25926/64216/2483/23160/84154/9188/84128/6135/29063/8886/84549/63899/55003/6202/23029/153443/23016/79954/6223/6129/84135/11340/10412/6154/11157/10885/51106/54663/80135/6232/51096/29777/10360/23378/51504/134430/6125/6165/10556/387338/51602/11056/55505/6201/5393/51013/9045/6230/51077/9775/51018/55127/4931/6130/22894/29081/55646/1662/6208/22803/55759/84294/10557/23560/83732/55720/5303/3669/11224/6194/51202/55006/25983/55011/56915/51441/6234/6155/6218,F6
GO:0099504,synaptic vesicle cycle,210,-0.5960928177051449,-2.7150264650413485,1e-10,6.196306922588289e-9,NA,2791,"tags=53%, list=19%, signal=44%",6517/9581/9378/4983/10497/274/134957/23208/8871/1212/26052/51606/246213/9501/5532/10947/22999/9699/93664/10239/84251/10675/10396/1487/785/5865/140730/8499/127833/9498/163/9829/5534/91683/7054/284697/22895/143425/22987/1855/114781/8943/273/6457/9381/3351/9899/9066/57555/6844/534/8224/440279/23513/5579/54413/6456/160/161/9892/6860/56850/9900/488/57084/112476/57030/27445/6620/2580/10814/1609/6857/6623/6622/23396/11069/8120/57465/8851/6853/127262/5575/8867/9024/6616/28964/1759/84446/9143/9783/63908/29993/6855/8447/5582/535/5864/6861/10815/6804/80331/23025/140679/6812/8927/112755/8541/6854/8448/9751,F6
GO:0099003,vesicle-mediated transport in synapse,243,-0.5821811175397557,-2.6931848304611052,1e-10,6.196306922588289e-9,NA,2791,"tags=51%, list=19%, signal=42%",6517/9581/9378/4983/10497/274/22848/134957/23208/8871/1212/26052/51606/246213/9501/5532/10947/51760/22999/9699/93664/10239/84251/10675/146395/10396/1487/3092/785/5865/140730/8499/127833/9498/163/9829/5534/91683/7054/80852/284697/22895/143425/22987/808/1855/114781/8943/273/801/6457/9381/3351/9899/9066/57555/6844/534/8224/440279/23513/5579/54413/6456/55182/160/161/9892/6860/56850/9900/488/57084/112476/57030/27445/6620/2580/10814/1609/6857/6623/6622/23396/11069/8120/57465/8851/6853/127262/5575/8867/9024/6616/28964/1759/50632/84446/9143/22883/9783/63908/29993/6855/8447/5582/535/5864/6861/10815/3208/6804/80331/23025/140679/6812/8927/112755/8541/6854/8448/23154/9751,F6
