ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,factor
GO:0035195,miRNA-mediated post-transcriptional gene silencing,215,-0.5659952350883517,-2.719133971862965,1e-10,1.5067500000000002e-7,NA,2743,"tags=50%, list=18%, signal=42%",693180/8087/407023/406929/407034/693182/27327/406997/407029/693186/693175/3569/724026/407031/693213/693121/574450/9337/100126333/407975/442919/442910/100302250/406961/574452/57472/7073/406959/442907/693209/100126308/406958/4204/406911/664616/100126296/693190/406882/693203/407054/406946/100126343/574435/406969/406885/406893/768212/406963/407046/100126318/574508/1981/619556/407021/574408/407037/407007/406932/406913/494332/406973/494330/407015/407053/442892/693159/407019/100126315/406995/693211/406890/693228/100126331/652/406937/406889/406919/406903/574413/724024/574453/494337/407017/407039/100126345/406987/442903/768217/407036/7538/100126327/407030/100302287/724031/407011/494326/406955/574447/407051/574454/406966/442905/100126335/574433/406943/574434/407006/574506,F2
GO:0035194,regulatory ncRNA-mediated post-transcriptional gene silencing,225,-0.5394904779980505,-2.5951149889536316,1e-10,1.5067500000000002e-7,NA,2743,"tags=48%, list=18%, signal=40%",693180/8087/407023/406929/407034/693182/27327/406997/407029/693186/693175/3569/724026/407031/693213/693121/574450/9337/100126333/407975/442919/442910/100302250/406961/574452/57472/7073/406959/442907/693209/100126308/406958/4204/406911/664616/100126296/693190/406882/693203/407054/406946/100126343/574435/406969/406885/406893/768212/406963/407046/100126318/574508/1981/619556/407021/574408/407037/407007/406932/406913/494332/406973/494330/407015/407053/442892/693159/407019/100126315/406995/693211/406890/693228/100126331/652/406937/406889/406919/406903/574413/724024/574453/494337/407017/407039/100126345/406987/442903/768217/407036/7538/100126327/407030/100302287/724031/407011/494326/406955/574447/407051/574454/406966/442905/100126335/574433/406943/574434/407006/574506,F2
GO:0016441,post-transcriptional gene silencing,229,-0.535034517696961,-2.577271602548176,1e-10,1.5067500000000002e-7,NA,2743,"tags=47%, list=18%, signal=39%",693180/8087/407023/406929/407034/693182/27327/406997/407029/693186/693175/3569/724026/407031/693213/693121/574450/9337/100126333/407975/442919/442910/100302250/406961/574452/57472/7073/406959/442907/693209/100126308/406958/4204/406911/664616/100126296/693190/406882/693203/407054/406946/100126343/574435/406969/406885/406893/768212/406963/407046/100126318/574508/1981/619556/407021/574408/407037/407007/406932/406913/494332/406973/494330/407015/407053/442892/693159/407019/100126315/406995/693211/406890/693228/100126331/652/406937/406889/406919/406903/574413/724024/574453/494337/407017/407039/100126345/406987/442903/768217/407036/7538/100126327/407030/100302287/724031/407011/494326/406955/574447/407051/574454/406966/442905/100126335/574433/406943/574434/407006/574506,F2
GO:0031047,regulatory ncRNA-mediated gene silencing,273,-0.4910019308734776,-2.4234865555286285,1e-10,1.5067500000000002e-7,NA,2743,"tags=41%, list=18%, signal=34%",693180/8087/407023/406929/407034/693182/3181/27327/406997/407029/693186/693175/3569/724026/407031/56165/693213/693121/574450/9337/100126333/407975/442919/442910/100302250/406961/574452/57472/7073/406959/442907/693209/100126308/23013/406958/4204/406911/664616/100126296/693190/406882/693203/440822/407054/406946/100126343/574435/406969/406885/406893/768212/406963/407046/100126318/574508/1981/619556/407021/574408/407037/407007/406932/406913/494332/406973/494330/407015/407053/442892/693159/407019/100126315/406995/693211/406890/693228/100126331/652/406937/406889/406919/406903/574413/724024/1655/574453/494337/407017/407039/100126345/406987/442903/768217/407036/7538/100126327/407030/100302287/724031/407011/494326/406955/574447/407051/574454/406966/442905/100126335/574433/406943/574434/407006/574506,F2
GO:0035279,miRNA-mediated gene silencing by mRNA destabilization,42,-0.6644425827857341,-2.4080002061095738,4.3481148598044454e-8,5.241217652008279e-5,NA,2034,"tags=57%, list=14%, signal=50%",9337/100126333/406961/57472/406911/407054/406885/407046/574408/407037/406932/407053/407019/100126315/406937/406919/574453/407017/406987/407030/406955/406966/442905/100126335,F2
GO:0001935,endothelial cell proliferation,165,-0.43154612017580585,-2.0077131986755368,6.352098579949275e-8,5.4691568773363255e-5,NA,2265,"tags=31%, list=15%, signal=27%",84432/57804/3952/3593/54567/335/5291/574452/7026/5797/23411/3148/4017/2022/664616/79812/207/407054/2321/406893/947/1012/348/407021/574408/5155/7124/407007/406913/2693/3162/407015/283/6678/5365/407019/652/5587/406919/406903/574453/2324/407030/1960/3091/51162/84913/406943/574434/3164/574506,F2
GO:0043542,endothelial cell migration,223,-0.40088859046351694,-1.9305585938181251,6.210683873588961e-8,5.4691568773363255e-5,NA,1947,"tags=27%, list=13%, signal=24%",57381/7049/54567/6286/335/5291/574452/153090/7026/22976/5797/23411/54345/4017/4204/1460/664616/388/79812/207/80149/5829/406893/7424/1012/574508/348/407021/5606/574408/285/5155/7124/407037/406913/3162/6273/407015/6678/407019/1647/5587/406903/3397/574453/406987/51378/2324/9314/2013/56999/161198/1906/1960/3091/84913/406943/574434/3164/407006/574506,F2
GO:0043537,negative regulation of blood vessel endothelial cell migration,48,-0.6136451051684704,-2.2979323661834257,1.0476980688094084e-7,6.314476260714305e-5,NA,1947,"tags=46%, list=13%, signal=40%",54567/574452/4204/1460/79812/406893/574508/348/574408/285/7124/407037/407015/1647/574453/406987/51378/9314/406943/574434/407006/574506,F2
GO:0001936,regulation of endothelial cell proliferation,143,-0.4563784426865742,-2.0817148424441956,9.64136693145307e-8,6.314476260714305e-5,NA,2265,"tags=33%, list=15%, signal=28%",84432/57804/3952/3593/54567/574452/7026/5797/23411/3148/2022/664616/79812/207/407054/2321/406893/1012/348/407021/574408/5155/7124/407007/406913/2693/3162/407015/283/6678/5365/407019/652/5587/406919/406903/574453/2324/407030/1960/3091/51162/84913/406943/574434/3164/574506,F2
GO:0030336,negative regulation of cell migration,291,-0.3653492949974281,-1.8237186187947965,8.929950483537935e-8,6.314476260714305e-5,NA,3176,"tags=34%, list=21%, signal=27%",6423/104/2768/4780/2041/7075/83481/10395/5607/7168/393/11188/5217/2841/1009/5054/140/199/406929/25942/5728/54328/482/8751/7070/969/574450/7049/54567/25930/406961/574452/153090/7026/5793/5797/57522/23189/90102/406958/4204/1460/2022/149461/388/79812/207/8692/11240/4035/406893/657/1365/407046/574508/348/57152/8428/407021/574408/285/23143/5931/7124/79890/407037/406932/406913/3162/6366/407015/138429/1843/5365/100126315/1647/406890/652/8819/7122/406937/406919/401720/9863/574453/406987/51378/9314/56999/3622/1588/100126335/406943/574434/6833/407006/8434/574506,F2
GO:0035278,miRNA-mediated gene silencing by inhibition of translation,49,-0.6156337929591119,-2.31432935421115,1.9488923288058574e-7,1.0135043458553157e-4,NA,2681,"tags=55%, list=18%, signal=45%",407023/406929/27327/693175/442910/406958/406911/100126296/407054/100126343/406893/407046/1981/407021/406913/407053/442892/407019/406937/406903/574453/407017/406987/7538/406955/407006/574506,F2
GO:0043534,blood vessel endothelial cell migration,132,-0.4482029113175318,-2.0173165455181494,2.0179280156402503e-7,1.0135043458553157e-4,NA,2591,"tags=36%, list=17%, signal=30%",1003/407029/1948/3315/51564/57381/7049/54567/335/574452/23411/54345/4204/1460/664616/79812/207/406893/7424/574508/348/5606/574408/285/5155/7124/407037/406913/3162/407015/407019/1647/5587/406903/3397/574453/406987/51378/9314/2013/161198/1960/3091/406943/574434/3164/407006/574506,F2
GO:0006119,oxidative phosphorylation,101,-0.4928810648336423,-2.127827953821431,2.3644589013054728e-7,1.0961995229360066e-4,NA,4149,"tags=53%, list=28%, signal=39%",1337/4720/4698/4729/215/7415/7385/4726/6392/4731/983/23479/4714/4725/51142/4702/1716/7386/891/29103/4710/7388/4697/1351/4711/55967/1349/27069/54539/4717/341947/4728/30968/4706/4707/51085/2395/27089/4712/4724/4709/10105/440567/4708/7124/4694/1738/1350/6390/54205/6472/84701/1345/7381,F2
GO:0016525,negative regulation of angiogenesis,113,-0.4594925339487523,-2.035232797815459,3.56279261841357e-7,1.5337822222270418e-4,NA,2771,"tags=42%, list=18%, signal=34%",5054/641700/406929/5140/407034/3087/407031/22905/6093/10253/406961/5291/153090/5797/354/10365/57556/4881/4204/406911/664616/2828/7042/5196/574508/407021/574408/285/948/7124/11005/407007/6678/55810/1647/7122/406937/140862/574453/51378/9314/56999/407030/494326/6833/407006/574506,F2
GO:0042773,ATP synthesis coupled electron transport,79,-0.512425239623598,-2.1130189192833644,6.141631445489054e-7,2.1773889836448546e-4,NA,4149,"tags=57%, list=28%, signal=41%",1337/4720/4698/4729/7385/4726/6392/4731/983/23479/4714/4725/51142/4702/1716/7386/891/29103/4710/7388/4697/1351/4711/55967/1349/27069/4717/341947/4728/4706/4707/27089/4712/4724/4709/440567/4708/4694/1738/1350/6390/54205/84701/1345/7381,F2
GO:0042775,mitochondrial ATP synthesis coupled electron transport,79,-0.512425239623598,-2.1130189192833644,6.141631445489054e-7,2.1773889836448546e-4,NA,4149,"tags=57%, list=28%, signal=41%",1337/4720/4698/4729/7385/4726/6392/4731/983/23479/4714/4725/51142/4702/1716/7386/891/29103/4710/7388/4697/1351/4711/55967/1349/27069/4717/341947/4728/4706/4707/27089/4712/4724/4709/440567/4708/4694/1738/1350/6390/54205/84701/1345/7381,F2
GO:0010594,regulation of endothelial cell migration,175,-0.4115071052585213,-1.938682809536737,5.785845388246392e-7,2.1773889836448546e-4,NA,2101,"tags=28%, list=14%, signal=24%",57381/7049/54567/5291/574452/153090/7026/5797/23411/4204/1460/664616/388/79812/207/80149/406893/7424/574508/348/407021/5606/574408/285/5155/7124/407037/406913/3162/407015/6678/407019/1647/5587/406903/574453/406987/51378/2324/9314/2013/56999/1906/3091/84913/406943/574434/407006/574506,F2
GO:2000146,negative regulation of cell motility,304,-0.34872088758738923,-1.7536733690653936,7.156725510443982e-7,2.39631025841366e-4,NA,3176,"tags=33%, list=21%, signal=26%",6423/104/2768/4780/2041/7075/83481/10395/5607/7168/393/11188/5217/2841/1009/5054/140/84978/199/406929/25942/5728/54328/482/8751/7070/969/574450/7049/54567/25930/406961/574452/153090/7026/5793/5797/57522/23189/90102/406958/4204/1460/2022/149461/388/79812/207/8692/11240/4035/406893/657/2192/1365/407046/574508/348/57152/8428/407021/574408/285/23143/5931/7124/79890/407037/406932/406913/3162/6366/407015/138429/1843/5365/100126315/1647/406890/652/8819/7122/406937/406919/401720/9863/574453/406987/51378/9314/56999/3622/1588/100126335/406943/574434/6833/407006/8434/574506,F2
GO:0010596,negative regulation of endothelial cell migration,64,-0.5436745624003214,-2.163929283898704,8.143386658554242e-7,2.583167967952969e-4,NA,1947,"tags=41%, list=13%, signal=36%",54567/574452/153090/7026/5797/4204/1460/79812/406893/574508/348/574408/285/7124/407037/407015/1647/574453/406987/51378/9314/56999/406943/574434/407006/574506,F2
