ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,factor
GO:0003341,cilium movement,153,-0.6567307720110911,-3.1197529949426483,1e-10,2.8700000000000002e-8,NA,2636,"tags=56%, list=18%, signal=46%",120935/6406/26140/5360/3622/84071/10566/6869/151651/9576/64800/144132/7141/361/150483/1770/2712/9104/84131/338/81839/2622/161514/585/202500/135138/28981/493/64147/221421/54970/339829/480/64518/55582/84217/6652/583/164395/27285/55567/27148/199223/8481/84223/114327/124637/219681/122664/29922/8382/85478/1767/146754/54585/1768/51364/644890/80258/53340/152015/7802/56171/200162/79925/154865/25876/10233/55036/83659/642987/54768/83853/27019/79582/219670/375189/64446/55329/83894/345895/26206/57639/246176/158787,F12
GO:0035082,axoneme assembly,58,-0.7723990682219488,-3.0387345685906433,1e-10,2.8700000000000002e-8,NA,1674,"tags=64%, list=11%, signal=57%",136332/2622/161514/65999/23059/221421/54970/339829/84217/583/27285/27148/57545/8481/84223/85478/1767/146754/51364/644890/56171/200162/79925/25876/10233/55036/2302/54768/27019/79582/374407/64446/55329/345895/89765/6674/57639,F12
GO:0001539,cilium or flagellum-dependent cell motility,130,-0.645823474740066,-3.007132618899722,1e-10,2.8700000000000002e-8,NA,2636,"tags=55%, list=18%, signal=45%",120935/6406/26140/5360/3622/84071/10566/6869/151651/9576/64800/144132/7141/150483/1770/2712/9104/84131/338/2622/161514/585/202500/135138/28981/493/64147/221421/54970/339829/480/64518/84217/6652/583/164395/27285/55567/199223/84223/114327/219681/122664/29922/85478/1767/146754/54585/1768/644890/80258/152015/7802/56171/79925/154865/10233/55036/83659/642987/83853/27019/79582/219670/375189/55329/345895/26206/57639/246176/158787,F12
GO:0060285,cilium-dependent cell motility,130,-0.645823474740066,-3.007132618899722,1e-10,2.8700000000000002e-8,NA,2636,"tags=55%, list=18%, signal=45%",120935/6406/26140/5360/3622/84071/10566/6869/151651/9576/64800/144132/7141/150483/1770/2712/9104/84131/338/2622/161514/585/202500/135138/28981/493/64147/221421/54970/339829/480/64518/84217/6652/583/164395/27285/55567/199223/84223/114327/219681/122664/29922/85478/1767/146754/54585/1768/644890/80258/152015/7802/56171/79925/154865/10233/55036/83659/642987/83853/27019/79582/219670/375189/55329/345895/26206/57639/246176/158787,F12
GO:0060294,cilium movement involved in cell motility,128,-0.6451041688874514,-2.998018660094866,1e-10,2.8700000000000002e-8,NA,2636,"tags=55%, list=18%, signal=45%",120935/6406/26140/5360/3622/84071/10566/6869/151651/9576/64800/144132/7141/150483/1770/2712/9104/84131/338/2622/161514/585/202500/135138/28981/493/64147/221421/54970/339829/480/64518/84217/6652/583/164395/27285/55567/199223/84223/114327/219681/122664/29922/1767/146754/54585/1768/644890/80258/152015/7802/56171/79925/154865/10233/55036/83659/642987/83853/27019/79582/219670/375189/55329/345895/26206/57639/246176/158787,F12
GO:0030317,flagellated sperm motility,112,-0.6406844767482086,-2.919186171813554,1e-10,2.8700000000000002e-8,NA,2636,"tags=55%, list=18%, signal=46%",120935/6406/26140/5360/3622/84071/10566/6869/151651/9576/64800/144132/7141/150483/2712/9104/84131/338/2622/161514/585/202500/135138/28981/493/64147/54970/339829/480/64518/84217/6652/583/164395/27285/199223/84223/114327/219681/122664/29922/1767/54585/644890/80258/152015/7802/79925/154865/10233/55036/83659/642987/83853/27019/79582/219670/375189/55329/26206/57639/158787,F12
GO:0097722,sperm motility,112,-0.6406844767482086,-2.919186171813554,1e-10,2.8700000000000002e-8,NA,2636,"tags=55%, list=18%, signal=46%",120935/6406/26140/5360/3622/84071/10566/6869/151651/9576/64800/144132/7141/150483/2712/9104/84131/338/2622/161514/585/202500/135138/28981/493/64147/54970/339829/480/64518/84217/6652/583/164395/27285/199223/84223/114327/219681/122664/29922/1767/54585/644890/80258/152015/7802/79925/154865/10233/55036/83659/642987/83853/27019/79582/219670/375189/55329/26206/57639/158787,F12
GO:0001578,microtubule bundle formation,86,-0.6438863934255844,-2.7803669791830106,1e-10,2.8700000000000002e-8,NA,1674,"tags=45%, list=11%, signal=41%",136332/2622/161514/65999/23059/221421/54970/339829/84217/583/27285/27148/57545/51673/8481/84223/85478/1767/146754/51364/644890/56171/200162/79925/25876/10233/55036/2302/54768/27019/79582/374407/64446/55329/345895/89765/6674/57639/246176,F12
GO:0002181,cytoplasmic translation,150,0.5764458531773505,2.6893514398169027,1e-10,2.8700000000000002e-8,NA,3050,"tags=56%, list=20%, signal=45%",6130/6175/6142/4733/25873/8666/6141/51386/8664/3921/6234/8892/6193/6235/6171/6168/6136/6138/6222/27335/7311/6161/6223/24140/8891/6187/6128/23521/11224/6124/9567/6152/6209/6159/6202/6144/4736/6147/6170/6205/6203/6137/6206/56339/8893/6189/6210/6129/6232/6165/208/1974/6169/6160/6191/6122/6233/8665/6135/6133/8894/8668/6208/6218/6167/6194/9045/6157/221120/6143/6188/6224/6201/2197/1983/170506/6227/6164/6181/4904/6132/6155/6125/6134,F12
GO:0044782,cilium organization,300,-0.4770166211625411,-2.4619203420502647,1e-10,2.8700000000000002e-8,NA,2271,"tags=37%, list=15%, signal=32%",3766/55764/55717/127733/9576/200894/144132/1540/150483/90410/2712/27241/4952/80776/22920/84131/136332/167691/2622/161514/585/196383/84260/65999/27152/10806/84747/28981/80199/284001/9851/254187/23059/26160/197335/221421/166379/54970/339829/64518/55582/8556/84217/85302/146849/79867/583/80173/27285/4117/27148/57545/199223/8481/80216/57216/283232/84223/57560/5990/79600/9696/79583/200728/57489/152206/6103/225689/9742/8382/27077/85478/1767/5992/146754/84314/51524/51364/23322/644890/152015/7802/56171/200162/79925/10413/84140/154865/26146/8100/25876/10233/55036/83659/91147/2302/54768/27019/79582/51473/57728/375189/374407/64446/55329/83894/345895/51626/89765/6674/57639/150082,F12
