ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,factor
GO:1905820,positive regulation of chromosome separation,32,-0.7747383309099546,-2.6912566301871474,1e-10,1.8834375000000002e-8,NA,815,"tags=53%, list=5%, signal=50%",9918/5359/332/3619/10592/64151/991/55143/11065/221150/23397/9700/9212/9787/8697/54892/220134,F9
GO:1905818,regulation of chromosome separation,71,-0.6544552738433207,-2.6723311094658757,1e-10,1.8834375000000002e-8,NA,2064,"tags=52%, list=14%, signal=45%",10459/5347/7517/23310/10051/9735/7272/11130/701/26271/4085/9918/9319/83540/5359/891/332/3619/10592/1063/64151/3550/991/55143/11065/221150/23397/9700/10403/9212/9787/699/8697/57405/147841/54892/220134,F9
GO:0051304,chromosome separation,76,-0.6371489520382227,-2.6407726166392225,1e-10,1.8834375000000002e-8,NA,2064,"tags=50%, list=14%, signal=43%",10459/5347/7517/23310/10051/9735/7272/11130/701/26271/4085/9918/9319/83540/5359/891/332/7156/3619/10592/1063/64151/3550/991/55143/11065/221150/23397/9700/10403/9212/9787/699/8697/57405/147841/54892/220134,F9
GO:0000070,mitotic sister chromatid segregation,169,-0.5600965165618706,-2.6084300220738528,1e-10,1.8834375000000002e-8,NA,2073,"tags=41%, list=14%, signal=36%",7283/10459/5347/7517/8243/91272/25936/23310/10051/81929/22919/9735/3304/7272/11130/9031/983/79003/29127/701/9493/26271/4085/3832/9918/3835/348235/9319/9928/79998/146909/24137/83540/113130/891/2491/332/3619/3833/10592/1063/64151/4605/3550/991/55143/11065/10615/64105/22974/11004/56992/84722/3796/221150/23397/9700/10403/9212/9787/699/81930/4751/8697/1062/57405/29128/147841/54892/220134,F9
GO:0051310,metaphase chromosome alignment,86,-0.6053966790708332,-2.554604255262866,1e-10,1.8834375000000002e-8,NA,1920,"tags=43%, list=13%, signal=38%",91272/25936/81929/22919/9735/7272/11130/983/79003/29127/3835/348235/9928/79980/79998/83540/113130/891/332/3619/3833/1063/55143/10615/11004/84722/221150/1894/10403/9212/81930/4751/8697/1062/57405/147841/220134,F9
GO:0051983,regulation of chromosome segregation,122,-0.5683738514568648,-2.5321561922485167,1e-10,1.8834375000000002e-8,NA,2064,"tags=39%, list=14%, signal=34%",10459/10460/5347/7517/8193/23310/10051/9735/51412/7272/11130/983/23137/701/26271/8110/4085/990/9918/9319/157313/83540/5359/891/332/3619/10592/1063/64151/3550/991/55143/4288/11065/11004/221150/23397/9700/10403/9212/9787/699/8697/1062/57405/147841/54892/220134,F9
GO:0000819,sister chromatid segregation,207,-0.5282240366950173,-2.511630728144952,1e-10,1.8834375000000002e-8,NA,2073,"tags=37%, list=14%, signal=33%",7283/10459/10460/5347/7517/8193/8243/91272/25936/23310/7155/10051/81929/22919/9735/51412/3304/7272/11130/9031/983/79003/29127/701/9493/26271/8110/4085/990/3832/9918/3835/348235/9319/9928/79998/146909/24137/83540/113130/891/2491/332/3619/3833/10592/1063/64151/4605/3550/991/55143/11065/10615/64105/22974/11004/56992/84722/3796/221150/23397/9700/10403/9212/7153/9787/699/81930/4751/8697/1062/57405/29128/147841/54892/220134,F9
GO:0051303,establishment of chromosome localization,92,-0.5868548604018831,-2.5056221784613144,1e-10,1.8834375000000002e-8,NA,2034,"tags=41%, list=14%, signal=36%",54820/91272/25936/81929/22919/9735/7272/11130/983/79003/29127/3835/348235/9928/79980/79998/83540/113130/891/332/3619/3833/1063/55143/10615/11004/84722/221150/1894/10403/9212/81930/4751/8697/1062/57405/147841/220134,F9
GO:0050000,chromosome localization,100,-0.5794039518115889,-2.5033188434618396,1e-10,1.8834375000000002e-8,NA,2034,"tags=41%, list=14%, signal=36%",54820/91272/25936/81929/56776/22919/9735/7272/11130/983/79003/29127/4928/3835/348235/9928/79980/79998/83540/113130/891/332/3619/3833/1063/55143/10615/11004/84722/221150/1894/10403/9212/9787/81930/4751/8697/1062/57405/147841/220134,F9
GO:0002181,cytoplasmic translation,150,0.5143311145238368,2.4758863679514884,1e-10,1.8834375000000002e-8,NA,3686,"tags=57%, list=25%, signal=44%",10642/6124/6223/6206/23521/6218/6137/51386/8669/6204/6161/6146/6142/6194/6141/3921/6205/6125/8894/6175/6222/208/6170/6210/6138/6168/6224/24140/6160/8664/6188/6158/6133/6176/8661/6217/6129/6234/6167/6122/6191/6201/6189/9349/6169/27335/6128/3646/28985/6202/7555/25873/6135/6227/8667/6232/6235/6156/6159/7311/6136/6130/6451/6171/6233/6228/51389/26986/8893/6187/6155/9045/6209/64506/55854/6230/4733/2197/1974/6165/6154/1936/6173/6152/6134/6144,F9
