ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,factor
GO:0042773,ATP synthesis coupled electron transport,79,0.6940957506111813,3.1042857215362614,1e-10,1.1590384615384616e-8,NA,2221,"tags=61%, list=15%, signal=52%",1337/65018/1329/7385/4711/4714/1349/4719/4697/4704/4709/4718/7386/1347/6390/27069/4713/4706/55967/4724/1351/7388/9167/4722/1537/4695/27089/4723/29103/51142/1327/4707/4716/1346/637/4694/4700/6622/4708/57017/7384/1350/4715/4696/1716/1340/23479/4712,F8
GO:0042775,mitochondrial ATP synthesis coupled electron transport,79,0.6940957506111813,3.1042857215362614,1e-10,1.1590384615384616e-8,NA,2221,"tags=61%, list=15%, signal=52%",1337/65018/1329/7385/4711/4714/1349/4719/4697/4704/4709/4718/7386/1347/6390/27069/4713/4706/55967/4724/1351/7388/9167/4722/1537/4695/27089/4723/29103/51142/1327/4707/4716/1346/637/4694/4700/6622/4708/57017/7384/1350/4715/4696/1716/1340/23479/4712,F8
GO:0022904,respiratory electron transport chain,98,0.6629117749639256,3.0564106183977087,1e-10,1.1590384615384616e-8,NA,2067,"tags=56%, list=14%, signal=49%",1337/65018/1329/7385/8604/4711/4714/4190/1349/4719/4697/4704/4709/4718/7386/1347/6390/27069/4713/2819/4706/55967/4724/1351/7388/9167/4722/1537/2108/4695/27089/4723/29103/51142/1327/4707/4716/1346/637/4694/4700/6622/4708/57017/2110/7384/83733/10891/1350/2820/4715/4696/1716/1340/23479,F8
GO:0019646,aerobic electron transport chain,72,0.6852542594846004,3.0171814591847363,1e-10,1.1590384615384616e-8,NA,2221,"tags=60%, list=15%, signal=51%",1337/65018/1329/7385/4711/4714/1349/4719/4697/4704/4709/4718/7386/1347/6390/4713/4706/4724/1351/7388/9167/4722/1537/4695/27089/4723/29103/1327/4707/4716/1346/4694/4700/6622/4708/57017/7384/1350/4715/4696/1340/23479/4712,F8
GO:0009060,aerobic respiration,145,0.6009631344020304,2.988678278665597,1e-10,1.1590384615384616e-8,NA,2221,"tags=48%, list=15%, signal=41%",1337/65018/1329/7385/2647/4711/4714/4190/1349/4719/4697/4704/130752/4709/3419/4718/8802/7386/1347/6390/23530/27069/4713/4706/55967/4724/847/1351/7388/5162/9016/8803/9167/4722/1537/4695/4693/27089/4723/3420/29103/51142/2271/1327/4707/1737/65084/4716/84275/1346/637/4694/4700/55753/6622/4708/57017/7384/402/1350/10873/4715/4696/1716/126328/1340/23479/30968/4712,F8
GO:0006119,oxidative phosphorylation,101,0.6381334077131143,2.978325463318489,1e-10,1.1590384615384616e-8,NA,2221,"tags=51%, list=15%, signal=44%",1337/65018/1329/7385/4711/4714/1349/4719/4697/4704/4709/4718/7386/1347/6390/27069/4713/4706/55967/4724/1351/7388/9167/4722/1537/4695/27089/4723/29103/51142/1327/4707/65084/4716/84275/1346/637/4694/4700/6622/4708/57017/7384/1350/4715/4696/1716/126328/1340/23479/30968/4712,F8
GO:0022900,electron transport chain,107,0.6257070748553125,2.9456272181775023,1e-10,1.1590384615384616e-8,NA,2067,"tags=52%, list=14%, signal=45%",1337/65018/1329/7385/8604/4711/4714/4190/1349/4719/4697/4704/4709/4718/7386/1347/6390/27069/4713/2819/4706/55967/4724/1351/7388/9167/4722/1537/2108/4695/27089/4723/29103/51142/1327/4707/4716/1346/637/4694/4700/6622/4708/57017/2110/7384/83733/10891/1350/2230/2820/4715/4696/1716/1340/23479,F8
GO:0032543,mitochondrial translation,117,0.6000429258220725,2.870794274489295,1e-10,1.1590384615384616e-8,NA,3882,"tags=64%, list=26%, signal=48%",51649/84340/23107/55037/28957/116541/283459/63931/26995/51264/51318/54534/708/51642/51021/65080/740/64963/51263/51335/28977/51081/84881/55173/51650/57129/84545/56945/54148/60488/65003/79072/28973/10884/9617/9553/28998/54948/64949/55168/64928/10240/64976/54460/29088/64960/128308/10128/22868/7284/51067/51258/63899/51373/23395/51204/55052/64965/29074/219927/4528/79828/124454/29093/51654/10573/63875/8846/64981/10352/54998/54516/55278/118487/9801,F8
GO:0045333,cellular respiration,186,0.550001703668228,2.8413565577716247,1e-10,1.1590384615384616e-8,NA,2221,"tags=44%, list=15%, signal=38%",1337/65018/1329/7385/90624/8604/2647/4711/4714/4190/1349/4719/4697/4704/130752/4709/3419/4718/8802/7386/1347/6390/23530/27069/4713/2819/4706/55967/4724/847/1351/7388/5162/9016/8803/9167/4722/1537/2108/4695/4693/27089/4723/3420/29103/51142/2271/1327/4707/1737/65084/4716/84275/1346/637/4694/4700/55753/6622/4708/57017/2110/7384/256471/83733/402/10891/55847/1350/10873/2820/4715/4696/93058/1716/126328/1340/23479/84269/30968/4712,F8
GO:0140053,mitochondrial gene expression,144,0.5555206866997484,2.7622376559804627,1e-10,1.1590384615384616e-8,NA,3882,"tags=59%, list=26%, signal=44%",51649/84340/23107/55037/28957/116541/283459/63931/26995/51264/51318/54534/708/51642/51021/65080/740/64963/51263/51335/28977/51081/84881/55173/51650/57129/90806/84545/56945/54148/79675/60488/65003/79072/84275/28973/10884/9617/9553/28998/54948/64949/55168/64928/10240/64976/54460/29088/64960/128308/10128/22868/7284/51067/51258/87178/63899/51373/25821/23395/51204/55052/64965/29074/219927/4528/79828/124454/64216/29093/9238/51654/10573/63875/8846/64981/10352/51106/55006/54998/54516/54802/55278/118487/9801,F8
GO:0097250,mitochondrial respirasome assembly,76,0.6083868038190231,2.7147525554187153,1e-10,1.1590384615384616e-8,NA,3410,"tags=67%, list=23%, signal=52%",90624/4711/4714/4719/285521/4704/4709/4718/7386/1347/4713/4706/55967/4724/57226/9167/4722/4695/80224/4707/79072/51295/4716/84275/1346/64756/91647/644096/4694/55863/4700/4708/54902/4715/84233/4696/126328/51751/4712/29078/79064/123346/51204/6341/51103/55572/4725/4717/25994/4728/4710,F8
