ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,Factor,Method
GO:0007187,"G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger",6/281,51/13960,0.1176470588235294,5.844672388528365,4.967692296059142,5.307951772549845e-4,0.01875832246164205,NA,HTR1E/HTR1A/NPY/VIPR1/SSTR4/HTR5A,6,F7,GFA
GO:0086070,SA node cell to atrial cardiac muscle cell communication,5/275,11/13960,0.4545454545454546,23.074380165289256,10.382081237531851,1.1994937235618703e-6,5.183020699827438e-4,NA,SCN3B/TBX18/RYR2/KCNA5/CACNA1G,5,F11,GFA
GO:0072678,T cell migration,7/279,61/13960,0.11475409836065574,5.74181796815324,5.300152331892784,2.0487114345763867e-4,0.04584081803281813,NA,SPN/FUT7/CXCL10/ADAM10/MYO1G/PIK3CG/ZAP70,7,F5,GFA
GO:0030048,actin filament-based movement,11/275,129/13960,0.08527131782945736,4.328682170542636,5.384079872024296,4.835612939437231e-5,0.00632569811188603,NA,SCN3B/FGF12/CAV1/KCND3/RYR2/KCNA5/KCNH2/CACNA1G/PDPN/PKP2/MYO5C,11,F11,GFA
GO:0070252,actin-mediated cell contraction,10/275,105/13960,0.09523809523809525,4.834632034632034,5.590957361548882,4.155090356630052e-5,0.00632569811188603,NA,SCN3B/FGF12/CAV1/KCND3/RYR2/KCNA5/KCNH2/CACNA1G/PDPN/PKP2,10,F11,GFA
GO:0001508,action potential,12/275,167/13960,0.0718562874251497,3.647686445291235,4.879401093966578,1.172806229434615e-4,0.01035587900590765,NA,SCN3B/FGF12/TBX18/CAV1/GNA14/KCND3/NPR2/RYR2/KCNA5/KCNH2/CACNA1G/PKP2,12,F11,GFA
GO:0002250,adaptive immune response,21/279,394/13960,0.0532994923857868,2.6668849953605154,4.792897878210861,4.4498294065254264e-5,0.01946244136679058,NA,IL10/KLHL6/SPN/NCKAP1L/BTLA/PRF1/PTPN6/IL1B/RAP1GAP2/FUT7/BRD4/VTCN1/INPP5D/FCER1G/MYO1G/PIK3CG/CX3CR1/CD1D/CD160/SLAMF7/ZAP70,21,F5,GFA
GO:0007189,adenylate cyclase-activating G protein-coupled receptor signaling pathway,9/281,137/13960,0.06569343065693431,3.2636309322804373,3.816083669577738,0.00181221798836147,0.04398511946037362,NA,ADCYAP1/DRD5/ADRA2B/CALCA/CALCR/SSTR4/PTGER2/HTR5A/ADRA2C,9,F7,GFA
GO:0007188,adenylate cyclase-modulating G protein-coupled receptor signaling pathway,15/281,222/13960,0.06756756756756757,3.3567375204385885,5.073166150478548,4.413038010909645e-5,0.00380683460371017,NA,HTR1E/OPRK1/HTR1A/ADCYAP1/DRD5/ADRA2B/CALCA/RGS2/CRHR2/CALCR/VIPR1/SSTR4/PTGER2/HTR5A/ADRA2C,15,F7,GFA
GO:0001667,ameboidal-type cell migration,17/273,225/13960,0.07555555555555556,3.8635734635734633,6.115607433926537,2.0939321158731035e-6,0.00742298935077015,NA,TIMP1/FERMT1/SEMA6A/SEMA6B/IL4/THBS1/BMPR2/MEGF8/MIXL1/ENPP2/LTB4R2/AMOTL2/SNAI1/IQSEC1/GDF6/ACTA2/IQGAP1,17,F2,GFA
GO:0015837,amine transport,7/281,89/13960,0.07865168539325842,3.907393338398176,3.943647121940882,0.00209773619691097,0.0481628891696183,NA,OPRK1/NTSR1/NPY5R/ADRA2B/RGS2/SLC18A3/ADRA2C,7,F7,GFA
GO:0009948,anterior/posterior axis specification,6/281,52/13960,0.1153846153846154,5.732274842595128,4.899958811342938,5.900413788255957e-4,0.01927846735816706,NA,WT1/FOXA2/CDX2/HOXD8/TBX3/BASP1,6,F7,GFA
GO:0008595,"anterior/posterior axis specification, embryo",4/281,16/13960,0.25,12.419928825622776,6.550626537643443,2.4160270749233484e-4,0.0110941351359318,NA,WT1/HOXD8/TBX3/BASP1,4,F7,GFA
GO:0009952,anterior/posterior pattern specification,17/281,206/13960,0.0825242718446602,4.099782330788101,6.423969012882983,9.185820307490596e-7,4.45905962926472e-4,NA,HOXB9/WT1/SOX17/WNT1/FOXA2/WNT3A/CDX2/HOXD13/ALX4/HOXD8/HOXC9/HOXB7/TBX3/BASP1/MLLT3/HOXB4/HES4,17,F7,GFA
GO:0048736,appendage development,12/281,171/13960,0.07017543859649122,3.48629581070113,4.688539793667801,1.7942631997555885e-4,0.00992999313471765,NA,GREM1/PITX2/RAX/AFF3/DLX5/HOXD13/ALX4/HAND2/HOXA13/TBX3/RSPO4/TFAP2A,12,F7,GFA
GO:0035107,appendage morphogenesis,9/281,138/13960,0.06521739130434782,3.2399814327711587,3.790108616999552,0.001905306749006,0.04559318544452388,NA,GREM1/AFF3/DLX5/HOXD13/ALX4/HAND2/HOXA13/TBX3/TFAP2A,9,F7,GFA
GO:0003228,atrial cardiac muscle tissue development,5/275,20/13960,0.25,12.690909090909091,7.416568189065374,3.4796209392523133e-05,0.00585239102735198,NA,ZIC3/TBX18/CACNA1G/ISL1/WNT2,5,F11,GFA
GO:0003283,atrial septum development,4/275,20/13960,0.2,10.152727272727272,5.806377023912145,5.564964569599291e-4,0.03119913469813443,NA,TGFB2/HEY2/ISL1/BMPR2,4,F11,GFA
GO:0060413,atrial septum morphogenesis,4/275,12/13960,0.3333333333333333,16.921212121212122,7.821352903322615,6.438497898592593e-5,0.00710649205557157,NA,TGFB2/HEY2/ISL1/BMPR2,4,F11,GFA
GO:0009798,axis specification,9/281,90/13960,0.1,4.967971530249111,5.412584761069076,8.105611610128438e-5,0.00598758005461226,NA,WT1/IRX4/PITX2/WNT1/FOXA2/CDX2/HOXD8/TBX3/BASP1,9,F7,GFA
GO:0007350,blastoderm segmentation,4/281,21/13960,0.1904761904761905,9.462802914760209,5.562387034727667,7.339170033752824e-4,0.02226651765597508,NA,WT1/HOXD8/TBX3/BASP1,4,F7,GFA
GO:0008015,blood circulation,25/281,482/13960,0.05186721991701245,2.576748719008875,5.049244705261661,1.4844663232176734e-5,0.00240200788871126,NA,ATP2A3/FLI1/ADAMTS16/FAAH/BBS2/NTSR1/EPO/HTR1A/SLIT2/NPY/EXT2/DRD5/PPARG/ADRA2B/CALCA/RGS2/CACNA1G/NPR3/IRX3/ISL1/GATA6/DOCK5/DSP/SCN5A/ADRA2C,25,F7,GFA
GO:0097746,blood vessel diameter maintenance,10/281,134/13960,0.07462686567164178,3.7074414404844105,4.513530003024366,3.781869848562868e-4,0.01567169968953247,NA,FAAH/BBS2/HTR1A/EXT2/DRD5/ADRA2B/CALCA/RGS2/DOCK5/ADRA2C,10,F7,GFA
GO:0001658,branching involved in ureteric bud morphogenesis,7/281,60/13960,0.11666666666666668,5.795966785290629,5.335775278856153,1.927425566104378e-4,0.01023342511503543,NA,WT1/ADAMTS16/GREM1/FOXD1/WNT1/TMEM59L/HOXB7,7,F7,GFA
GO:0048754,branching morphogenesis of an epithelial tube,13/281,154/13960,0.08441558441558442,4.193742200859639,5.711884560974508,1.4043728248196595e-5,0.00240200788871126,NA,WT1/ADAMTS16/GREM1/FOXD1/SLIT2/WNT1/CSF1/GDF7/TMEM59L/CELSR1/HOXB7/VDR/TBX3,13,F7,GFA
GO:0050873,brown fat cell differentiation,6/281,50/13960,0.12,5.9615658362989326,5.037248015841079,4.76279578691273e-4,0.01778459349882357,NA,CEBPA/RGS2/VSTM2A/ADIG/SLC7A10/EBF2,6,F7,GFA
GO:0055074,calcium ion homeostasis,18/275,284/13960,0.06338028169014084,3.21741357234315,5.351769806874653,1.3633178784365448e-5,0.04497585680962161,NA,GRIK2/PDPK1/HTR2A/SV2B/CNR1/SNX10/BDKRB1/TRDN/VDR/EDN3/BAX/ALPL/RYR1/GRINA/CCL7/FASLG/STIM2/ATP13A5,18,F10,GFA
GO:0043010,camera-type eye development,16/275,334/13960,0.04790419161676647,2.4317909635274906,3.754393228451952,9.793874460516628e-4,0.04674589810073612,NA,SIX5/SOX9/BARHL2/FZD4/WNT7A/DIO3/TGFB2/MAB21L1/SAMD11/EFEMP1/MEGF11/GRM6/CRYBA2/JAG1/BMPR2/WNT2,16,F11,GFA
GO:0060070,canonical Wnt signaling pathway,15/275,297/13960,0.0505050505050505,2.563820018365473,3.861562411175321,8.24403768325948e-4,0.04159705871038926,NA,LRRK2/NID1/SOX9/TBX18/CAV1/FRZB/FZD4/WNT7A/IGFBP2/WWTR1/TMEM196/ISL1/FZD9/WNT2/DDIT3,15,F11,GFA
GO:0003230,cardiac atrium development,5/275,34/13960,0.14705882352941177,7.4652406417112305,5.350348327162422,4.984402759732412e-4,0.02934151757895813,NA,TGFB2/HEY2/ISL1/BMPR2/WNT2,5,F11,GFA
GO:0003209,cardiac atrium morphogenesis,5/275,25/13960,0.2,10.152727272727272,6.492891403994603,1.0999829207548238e-4,0.00996189660540009,NA,TGFB2/HEY2/ISL1/BMPR2/WNT2,5,F11,GFA
GO:0060911,cardiac cell fate commitment,5/281,12/13960,0.4166666666666667,20.69988137603796,9.784787616253803,2.2498014503597857e-6,8.494250364802835e-4,NA,WT1/SOX17/WNT3A/ISL1/TBX3,5,F7,GFA
GO:0003205,cardiac chamber development,13/281,160/13960,0.08125,4.036476868327402,5.5366052981437095,2.1153201065562036e-5,0.00266216952669554,NA,HAND1/OVOL2/SLIT3/NPY5R/SLIT2/MYOCD/HAND2/ISL1/GATA6/HOXA13/TBX3/DSP/SCN5A,13,F7,GFA
GO:0003206,cardiac chamber morphogenesis,10/281,122/13960,0.08196721311475409,4.072107811679598,4.884643172763687,1.7651655473888275e-4,0.00992999313471765,NA,HAND1/OVOL2/SLIT3/NPY5R/SLIT2/HAND2/ISL1/GATA6/TBX3/DSP,10,F7,GFA
GO:0061337,cardiac conduction,11/275,90/13960,0.12222222222222222,6.204444444444444,7.021477375570975,1.4890093834729818e-6,5.259181142426571e-4,NA,SCN3B/TBX18/CAV1/KCND3/RYR2/ACE/KCNA5/KCNH2/CACNA1G/ISL1/PKP2,11,F11,GFA
GO:0003161,cardiac conduction system development,7/281,35/13960,0.2,9.935943060498222,7.586298934363762,5.154985137024221e-6,0.00130749783873714,NA,CACNA1G/IRX3/ISL1/GATA6/TBX3/MSC/SCN5A,7,F7,GFA
GO:0060317,cardiac epithelial to mesenchymal transition,5/275,33/13960,0.15151515151515152,7.691460055096418,5.455319257823438,4.320219383693765e-4,0.02724824082715424,NA,TGFB2/HEY2/JAG1/MSX2/WNT2,5,F11,GFA
GO:0086001,cardiac muscle cell action potential,10/275,78/13960,0.1282051282051282,6.508158508158508,6.91510550219554,2.8898361034413245e-6,8.505750931128964e-4,NA,SCN3B/FGF12/TBX18/CAV1/KCND3/RYR2/KCNA5/KCNH2/CACNA1G/PKP2,10,F11,GFA
GO:0086002,cardiac muscle cell action potential involved in contraction,9/275,56/13960,0.16071428571428573,8.15844155844156,7.60875705321584,1.3207017638291886e-6,5.183020699827438e-4,NA,SCN3B/FGF12/CAV1/KCND3/RYR2/KCNA5/KCNH2/CACNA1G/PKP2,9,F11,GFA
GO:0086003,cardiac muscle cell contraction,9/275,77/13960,0.11688311688311688,5.933412042502951,6.153499788735319,1.9604260845490827e-5,0.00407307348860433,NA,SCN3B/FGF12/CAV1/KCND3/RYR2/KCNA5/KCNH2/CACNA1G/PKP2,9,F11,GFA
GO:0055007,cardiac muscle cell differentiation,9/281,116/13960,0.07758620689655173,3.8544606700208615,4.424614126664348,5.556306731840053e-4,0.0188803302747925,NA,WT1/GREM1/MYOCD/WNT3A/RGS2/IRX3/ISL1/GATA6/TBX3,9,F7,GFA
GO:0060379,cardiac muscle cell myoblast differentiation,3/281,11/13960,0.2727272727272727,13.549013264315754,5.967432601228683,0.00118106219517809,0.03185118523186652,NA,GREM1/MYOCD/ISL1,3,F7,GFA
GO:0048738,cardiac muscle tissue development,16/281,224/13960,0.07142857142857142,3.5485510930350785,5.5111261426716025,1.234930928734628e-5,0.0023312751643557,NA,HAND1/WT1/GATA5/GREM1/FGF3/MYOCD/WNT3A/RGS2/CACNA1G/IRX3/ISL1/GATA6/TBX3/MSC/DSP/SCN5A,16,F7,GFA
GO:0055008,cardiac muscle tissue morphogenesis,7/275,58/13960,0.1206896551724138,6.126645768025078,5.545998716349137,1.3587836279330522e-4,0.0117054238386818,NA,S1PR1/TGFB2/RYR2/HEY2/ISL1/WNT2/PKP2,7,F11,GFA
GO:0003215,cardiac right ventricle morphogenesis,4/275,20/13960,0.2,10.152727272727272,5.806377023912145,5.564964569599291e-4,0.03119913469813443,NA,TGFB2/HEY2/JAG1/ISL1,4,F11,GFA
GO:0003231,cardiac ventricle development,11/281,122/13960,0.09016393442622953,4.479318592847559,5.532107221566181,3.509951509448934e-5,0.00331300423030763,NA,HAND1/SLIT3/NPY5R/SLIT2/MYOCD/HAND2/ISL1/HOXA13/TBX3/DSP/SCN5A,11,F7,GFA
GO:0035051,cardiocyte differentiation,12/281,146/13960,0.0821917808219178,4.083264271437624,5.367605524960941,3.918905175127648e-5,0.00359903777975236,NA,WT1/SOX17/GREM1/PITX2/MYOCD/WNT3A/RGS2/IRX3/HAND2/ISL1/GATA6/TBX3,12,F7,GFA
GO:0060326,cell chemotaxis,16/279,264/13960,0.06060606060606061,3.0324752905398067,4.7610275880132376,8.341425482733657e-5,0.03242960862676118,NA,IL10/CX3CL1/NCKAP1L/CCRL2/IL1B/FGF2/BIN2/ENG/IL16/CCL22/CXCL10/ADAM10/FCER1G/PIK3CG/CX3CR1/LGMN,16,F5,GFA
GO:0086065,cell communication involved in cardiac conduction,7/275,52/13960,0.1346153846153846,6.833566433566433,5.97412875774384,6.685609027381971e-5,0.00715562760142821,NA,SCN3B/TBX18/CAV1/RYR2/KCNA5/CACNA1G/PKP2,7,F11,GFA
GO:0021515,cell differentiation in spinal cord,8/281,49/13960,0.16326530612244897,8.110973926937323,7.146626571710044,5.377134498908347e-6,0.00130749783873714,NA,PHOX2A/DBX1/WNT1/GDF7/WNT3A/ISL1/DMRT3/LHX5,8,F7,GFA
GO:0045165,cell fate commitment,23/281,280/13960,0.08214285714285714,4.080833756990341,7.463754912418849,1.1383431483026248e-8,1.289363339310773e-5,NA,WT1/GATA5/DBX1/SOX17/BHLHE23/BHLHE22/JAK1/MYOD1/WNT1/FOXA2/PPARG/GDF7/WNT3A/ISL1/GATA6/HOXA13/EYA2/TBX3/PTF1A/DMRT3/EBF2/WNT9A/IRF4,23,F7,GFA
GO:0001709,cell fate determination,6/281,40/13960,0.15,7.451957295373665,5.856727274001257,1.3612457222303886e-4,0.00925102592827772,NA,SOX17/MYOD1/WNT1/ISL1/GATA6/EBF2,6,F7,GFA
GO:0001708,cell fate specification,9/281,107/13960,0.08411214953271028,4.178667642265606,4.730621829417416,3.057224535884768e-4,0.01331852432427748,NA,DBX1/SOX17/FOXA2/WNT3A/ISL1/HOXA13/EYA2/TBX3/DMRT3,9,F7,GFA
GO:0001906,cell killing,13/279,194/13960,0.06701030927835051,3.3529172671174665,4.712745343926159,1.437906167255833e-4,0.0387017975325243,NA,GZMA/NCKAP1L/PRF1/PTPN6/CCL22/CXCL10/CAMP/CX3CR1/CD1D/DNASE1L3/CD160/SLAMF7/GNLY,13,F5,GFA
GO:0086019,cell-cell signaling involved in cardiac conduction,5/275,27/13960,0.18518518518518515,9.4006734006734,6.1936229587225435,1.6184007461636255e-4,0.01329346845453471,NA,SCN3B/TBX18/RYR2/KCNA5/CACNA1G,5,F11,GFA
GO:0006968,cellular defense response,6/279,42/13960,0.14285714285714285,7.147977470558115,5.698214982328328,1.7302668092066974e-4,0.04324431118153024,NA,SPN/PRF1/LGALS3BP/CX3CR1/NCF2/GNLY,6,F5,GFA
GO:0071773,cellular response to BMP stimulus,11/281,161/13960,0.06832298136645963,3.394266262903119,4.379401023340181,4.1740814767874854e-4,0.01629411334400824,NA,GATA5/GREM1/FOXD1/WNT1/PPARG/DLX5/GDF7/GATA6/FSTL4/HOXA13/VSTM2A,11,F7,GFA
GO:0071216,cellular response to biotic stimulus,13/279,215/13960,0.06046511627906977,3.025423022422272,4.273984411800604,3.9303359273636584e-4,0.04584081803281813,NA,IL10/IL1A/CX3CL1/MIR140/IL1B/CEBPE/CXCL10/CAMP/CX3CR1/CSF2/TLR6/ABCA1/PTPN22,13,F5,GFA
GO:0071276,cellular response to cadmium ion,5/275,21/13960,0.23809523809523808,12.086580086580083,7.207132999813975,4.493830172328137e-5,0.00632569811188603,NA,MT1X/MT1M/MT1E/MT1F/SLC39A8,5,F11,GFA
GO:0071280,cellular response to copper ion,6/275,21/13960,0.2857142857142857,14.503896103896103,8.778575040851118,2.341513934097331e-6,7.51838837748343e-4,NA,MT1X/MT1M/MT1E/MT1F/MAP1LC3A/SNCA,6,F11,GFA
GO:0071222,cellular response to lipopolysaccharide,12/279,184/13960,0.06521739130434782,3.2632071061243573,4.413081787979644,3.309568245890713e-4,0.04584081803281813,NA,IL10/IL1A/CX3CL1/MIR140/IL1B/CEBPE/CXCL10/CAMP/CX3CR1/CSF2/ABCA1/PTPN22,12,F5,GFA
GO:0071219,cellular response to molecule of bacterial origin,13/279,192/13960,0.06770833333333333,3.38784348864994,4.757637811086192,1.296298530552554e-4,0.0387017975325243,NA,IL10/IL1A/CX3CL1/MIR140/IL1B/CEBPE/CXCL10/CAMP/CX3CR1/CSF2/TLR6/ABCA1/PTPN22,13,F5,GFA
GO:0071294,cellular response to zinc ion,4/275,19/13960,0.21052631578947367,10.687081339712918,5.989545700475876,4.521564074464499e-4,0.02801783212457651,NA,MT1X/MT1M/MT1E/MT1F,4,F11,GFA
GO:0021953,central nervous system neuron differentiation,14/281,189/13960,0.07407407407407407,3.679978911295637,5.316583980140077,2.8970840022124985e-5,0.00298311861803577,NA,EMX1/PHOX2A/DBX1/LMX1A/SLIT2/NPY/WNT1/UNCX/DLX5/GDF7/WNT3A/ISL1/DMRT3/LHX5,14,F7,GFA
GO:0002065,columnar/cuboidal epithelial cell differentiation,9/275,123/13960,0.07317073170731707,3.7144124168514407,4.2862600676547915,7.285074326204895e-4,0.03798640201725798,NA,SOX9/CAV1/INSM1/PDX1/NKX6-1/JAG1/PYY/NPY/FOXA1,9,F11,GFA
GO:0061448,connective tissue development,17/281,258/13960,0.06589147286821706,3.27346961295484,5.282751281231373,1.898426695661512e-5,0.00258034156474312,NA,HAND1/WT1/RUNX3/BBS2/GREM1/FOXD1/EXT2/UNCX/PPARG/BARX2/CSF1/GDF7/HAND2/EBF2/WNT9A/BMP3/CD2AP,17,F7,GFA
GO:0021545,cranial nerve development,6/281,61/13960,0.09836065573770492,4.8865293740155185,4.360017508410694,0.00138400734162329,0.03674106989715586,NA,PHOX2A/MAFB/KCNA1/POU4F3/ISL1/TFAP2A,6,F7,GFA
GO:0021603,cranial nerve formation,3/281,10/13960,0.3,14.90391459074733,6.3038101668281845,8.718912996228058e-4,0.02532210800101106,NA,PHOX2A/MAFB/TFAP2A,3,F7,GFA
GO:0019221,cytokine-mediated signaling pathway,21/279,448/13960,0.046875,2.3454301075268815,4.1334307352819835,2.679963369516184e-4,0.04584081803281813,NA,IL10/TNFRSF25/IL1A/CX3CL1/ZBP1/MIR125B1/PTPN6/CCRL2/RBM47/IL1B/IL16/CCL22/SH2B2/CXCL10/FCER1G/IL17RE/GPR75/CX3CR1/CSF2/LAPTM5/TNFRSF11B,21,F5,GFA
GO:0062149,detection of stimulus involved in sensory perception of pain,4/281,27/13960,0.14814814814814814,7.359957822591273,4.740967059958959,0.00195737533728373,0.0461886208061814,NA,NTSR1/KCNA1/PRDM12/CALCA,4,F7,GFA
GO:0009855,determination of bilateral symmetry,9/281,118/13960,0.07627118644067797,3.789130828156101,4.3607742639994935,6.293222392926348e-4,0.01944033608287611,NA,HAND1/OVOL2/SOX17/GREM1/PITX2/NOTO/WNT3A/HAND2/TBX3,9,F7,GFA
GO:0061371,determination of heart left/right asymmetry,7/281,68/13960,0.10294117647058824,5.114088339962319,4.874149219022157,4.219782149125148e-4,0.01629411334400824,NA,HAND1/OVOL2/SOX17/NOTO/WNT3A/HAND2/TBX3,7,F7,GFA
GO:0007368,determination of left/right symmetry,8/281,110/13960,0.07272727272727272,3.613070203817535,3.943443951122332,0.00169902048172804,0.04188255298191528,NA,HAND1/OVOL2/SOX17/PITX2/NOTO/WNT3A/HAND2/TBX3,8,F7,GFA
GO:0098754,detoxification,9/275,130/13960,0.06923076923076923,3.514405594405595,4.082883800937324,0.00108199638196193,0.0496313145596045,NA,FBLN5/MT1X/CYGB/SLC22A5/MT1M/MT1E/MT1F/SLC39A8/ABCB1,9,F11,GFA
GO:0010273,detoxification of copper ion,4/275,12/13960,0.3333333333333333,16.921212121212122,7.821352903322615,6.438497898592593e-5,0.00710649205557157,NA,MT1X/MT1M/MT1E/MT1F,4,F11,GFA
GO:0061687,detoxification of inorganic compound,5/275,19/13960,0.2631578947368421,13.358851674641146,7.641507727121006,2.652228008216361e-5,0.00468383466251009,NA,MT1X/MT1M/MT1E/MT1F/SLC39A8,5,F11,GFA
GO:0055123,digestive system development,14/281,137/13960,0.1021897810218978,5.076759227991792,6.872699119315824,6.710680117520661e-7,4.45905962926472e-4,NA,OVOL2/GATA5/IGF2/SOX17/MYOCD/NPY/CDX2/HOXD13/ALX4/DACT1/GATA6/HOXA13/PTF1A/CYP1A1,14,F7,GFA
GO:0048565,digestive tract development,12/281,128/13960,0.09375,4.657473309608541,5.957949242881749,1.0412097994637022e-5,0.00208119464622215,NA,OVOL2/GATA5/SOX17/MYOCD/NPY/CDX2/HOXD13/ALX4/DACT1/GATA6/HOXA13/CYP1A1,12,F7,GFA
GO:0071542,dopaminergic neuron differentiation,6/281,38/13960,0.15789473684210523,7.844165574077541,6.055006725282803,1.0126267232704725e-4,0.00716855334515221,NA,PHOX2A/LMX1A/LMX1B/WNT1/FOXA2/WNT3A,6,F7,GFA
GO:0021516,dorsal spinal cord development,5/281,18/13960,0.2777777777777778,13.79992091735864,7.788146971605556,2.2037888143751573e-5,0.00267445513973099,NA,WNT1/UNCX/GDF7/WNT3A/LHX5,5,F7,GFA
GO:0009953,dorsal/ventral pattern formation,7/281,85/13960,0.08235294117647059,4.0912706719698555,4.0971620306857925,0.00160832458631534,0.04018446282573185,NA,OVOL2/DBX1/GREM1/LMX1B/NOTO/WNT3A/DMRT3,7,F7,GFA
GO:0043583,ear development,13/279,202/13960,0.06435643564356436,3.220128464459349,4.538856694566051,2.145812270528937e-4,0.04584081803281813,NA,DDR1/CCM2/FGF2/SIX1/ADAM10/EDNRA/ATP6V1B1/PCDH15/FOXG1/SOX2/COL11A1/CHRNA9/SLC17A8,13,F5,GFA
GO:0035113,embryonic appendage morphogenesis,9/281,113/13960,0.07964601769911504,3.956791484269203,4.523089831394807,4.5847031924187506e-4,0.0173098016087099,NA,GREM1/AFF3/DLX5/HOXD13/ALX4/HAND2/HOXA13/TBX3/TFAP2A,9,F7,GFA
GO:0000578,embryonic axis specification,5/281,38/13960,0.13157894736842105,6.536804645064618,4.898389584469088,9.290283579551834e-4,0.02652805344816566,NA,WT1/WNT1/HOXD8/TBX3/BASP1,5,F7,GFA
GO:0035050,embryonic heart tube development,8/281,81/13960,0.09876543209876544,4.906638548394183,5.053820252711609,2.1998748164603124e-4,0.0106788208947602,NA,HAND1/OVOL2/SOX17/PITX2/NOTO/WNT3A/HAND2/TBX3,8,F7,GFA
GO:0003143,embryonic heart tube morphogenesis,7/281,70/13960,0.1,4.967971530249111,4.770013228131008,5.042873371962927e-4,0.01862574317166307,NA,HAND1/OVOL2/SOX17/NOTO/WNT3A/HAND2/TBX3,7,F7,GFA
GO:0030326,embryonic limb morphogenesis,9/281,113/13960,0.07964601769911504,3.956791484269203,4.523089831394807,4.5847031924187506e-4,0.0173098016087099,NA,GREM1/AFF3/DLX5/HOXD13/ALX4/HAND2/HOXA13/TBX3/TFAP2A,9,F7,GFA
GO:0048568,embryonic organ development,23/281,428/13960,0.05373831775700934,2.6697043270030263,5.028443808694345,1.8875842757222343e-5,0.00258034156474312,NA,HOXB9/HAND1/OVOL2/IGF2/PHLDA2/SOX17/CEBPA/PITX2/MAFB/NOTO/POU4F3/WNT1/DLX5/WNT3A/CDX2/ALX4/HOXC9/HOXB7/HAND2/TBX3/HOXB4/TFAP2A/TTC39C,23,F7,GFA
GO:0048562,embryonic organ morphogenesis,18/281,281/13960,0.06405693950177936,3.182330517597295,5.296630168358265,1.5814233024253595e-5,0.00244258017347335,NA,HOXB9/HAND1/OVOL2/SOX17/MAFB/NOTO/POU4F3/WNT1/DLX5/WNT3A/ALX4/HOXC9/HOXB7/HAND2/TBX3/HOXB4/TFAP2A/TTC39C,18,F7,GFA
GO:0009880,embryonic pattern specification,8/281,68/13960,0.1176470588235294,5.844672388528365,5.739705662027669,6.333646042412407e-5,0.00489130210275394,NA,WT1/NOTO/WNT1/CDX2/HOXD8/TBX3/BASP1/SIM2,8,F7,GFA
GO:0048706,embryonic skeletal system development,11/281,129/13960,0.08527131782945736,4.236254793235675,5.2925370868506185,5.8772340937184e-5,0.00464438173266398,NA,HOXB9/DLX4/DLX5/ALX4/HOXC9/HOXB7/HAND2/HOXB4/KIAA1217/TFAP2A/WNT9A,11,F7,GFA
GO:0003197,endocardial cushion development,7/275,50/13960,0.14,7.106909090909091,6.132167256756459,5.1618782683585274e-5,0.00651134072994368,NA,SOX9/TGFB2/HEY2/JAG1/ISL1/MSX2/BMPR2,7,F11,GFA
GO:0003203,endocardial cushion morphogenesis,5/275,39/13960,0.1282051282051282,6.508158508158508,4.882863860938684,9.518943583368992e-4,0.04669570657841566,NA,SOX9/TGFB2/HEY2/ISL1/MSX2,5,F11,GFA
GO:0060986,endocrine hormone secretion,6/281,52/13960,0.1153846153846154,5.732274842595128,4.899958811342938,5.900413788255957e-4,0.01927846735816706,NA,OPRK1/FOXD1/PPARG/CRY2/TBX3/RAB11FIP1,6,F7,GFA
GO:0050886,endocrine process,7/281,83/13960,0.08433734939759036,4.189855507439009,4.177489835741833,0.00139966108936854,0.0368685921060025,NA,OPRK1/FOXD1/DRD5/PPARG/CRY2/TBX3/RAB11FIP1,7,F7,GFA
GO:0060562,epithelial tube morphogenesis,21/281,320/13960,0.065625,3.2602313167259784,5.862378174907096,2.0955961028521875e-6,8.494250364802835e-4,NA,HAND1/WT1/OVOL2/ADAMTS16/SOX17/GREM1/FOXD1/NOTO/SLIT2/WNT1/CSF1/GDF7/WNT3A/TMEM59L/IRX2/CELSR1/IRX3/HOXB7/VDR/HAND2/TBX3,21,F7,GFA
GO:0060079,excitatory postsynaptic potential,8/275,104/13960,0.07692307692307693,3.904895104895105,4.215016574466923,0.00103130638435416,0.04829101999441318,NA,LRRK2/WNT7A/ADRB2/RELN/GRIN2C/CBLN1/SNCA/RIMS2,8,F11,GFA
GO:0045229,external encapsulating structure organization,17/275,297/13960,0.05723905723905724,2.9056626874808695,4.705679244371758,8.502644202106388e-5,0.00790298403206309,NA,COL12A1/ADAMTS1/NID1/FBLN5/SOX9/MMP28/CAV1/TGFB2/COL5A3/MATN3/COL13A1/ADAMTS20/ITGA2/ANXA2/SLC39A8/PDPN/AEBP1,17,F11,GFA
