ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,Factor,Method,factor
GO:1904353,regulation of telomere capping,13,0.6214434248185986,1.644445424512238,0.00802867505084107,0.04455692866613183,NA,1606,"tags=46%, list=11%, signal=41%",7874/80351/4683/8658/2072/23293,gfa_rna_gsea_f11,GFA,F11
GO:0032204,regulation of telomere maintenance,99,0.47763048905015215,2.0822793576274856,1.5362631055299482e-6,2.9771889829675235e-5,NA,2851,"tags=33%, list=19%, signal=27%",9212/4751/4931/1736/22948/80119/54984/10694/8607/79677/55135/86/3178/286053/79913/7520/142/10574/54780/5514/7203/908/6714/10576/4683/3192/7013/493861/3184/10575/3181/26354/7874,gfa_rna_gsea_f13,GFA,F13
GO:1904505,regulation of telomere maintenance in response to DNA damage,19,-0.5450903544291285,-1.801918681141749,0.00673784473162545,0.04982072776088479,NA,2514,"tags=42%, list=17%, signal=35%",7515/2067/10856/283899/54617/4798/8607/10445,gfa_rna_gsea_f7,GFA,F7
GO:0032210,regulation of telomere maintenance via telomerase,44,0.5140453163926505,1.909602235509978,4.794529779284067e-4,0.00381222044587665,NA,2407,"tags=34%, list=16%, signal=29%",1736/22948/80119/54984/10694/55135/3178/10574/7203/908/10576/3192/7013/3184/10575,gfa_rna_gsea_f13,GFA,F13
GO:1904356,regulation of telomere maintenance via telomere lengthening,50,0.4987276991698784,1.9178063278782145,4.440808833941623e-4,0.00358373440502597,NA,2711,"tags=34%, list=18%, signal=28%",1736/22948/80119/54984/10694/55135/3178/142/10574/7203/908/10576/3192/7013/3184/10575/3181,gfa_rna_gsea_f13,GFA,F13
GO:0034103,regulation of tissue remodeling,70,0.482837025535756,1.8919981350724064,9.666632955883774e-5,0.00103906766006907,NA,2996,"tags=39%, list=20%, signal=31%",6850/1436/8792/3635/3606/338773/5468/10457/5027/5166/2324/84959/406976/284266/133522/407019/57817/3600/3593/64114/7040/101/6522/1471/952/1445/26585,gfa_rna_gsea_f4,GFA,F4
GO:0002643,regulation of tolerance induction,17,0.6650027779265413,1.866733108918429,0.00108919517569305,0.0076778705542714,NA,1093,"tags=47%, list=7%, signal=44%",5133/84868/10288/3559/7048/11006/916/11213,gfa_rna_gsea_f4,GFA,F4
GO:0034135,regulation of toll-like receptor 2 signaling pathway,11,0.788979349332937,1.9880699516940368,2.065020791389219e-4,0.00194771209854504,NA,1176,"tags=64%, list=8%, signal=59%",1535/54209/7096/64127/10333/114609/4067,gfa_rna_gsea_f4,GFA,F4
GO:0034143,regulation of toll-like receptor 4 signaling pathway,29,0.5765673922014879,1.8444955673195624,8.381826471625599e-4,0.0061084967526587,NA,1232,"tags=38%, list=8%, signal=35%",929/54209/4814/10062/26191/8878/11027/114609/3430/4067/55198,gfa_rna_gsea_f4,GFA,F4
GO:0034121,regulation of toll-like receptor signaling pathway,32,0.5660505262167735,1.871614117206956,5.104020642209285e-4,0.00415701789332369,NA,1744,"tags=44%, list=12%, signal=39%",146722/4034/171389/11314/6280/11213/2672/27293/2099/3551/6279/409/3665/9684,gfa_rna_gsea_f4,GFA,F4
GO:0099177,regulation of trans-synaptic signaling,471,-0.5731926246880312,-2.7919992099870523,1e-10,6.196306922588289e-9,NA,2766,"tags=48%, list=18%, signal=40%",6547/9581/9378/4983/6780/2906/6376/6507/27092/55607/134957/23208/1392/7533/79772/10458/27091/177/81832/43/2900/2534/7532/57282/952/6865/59284/26050/5532/5595/84966/5802/9229/5152/3786/22999/81539/4915/84866/999/9699/2918/23657/10675/2904/2648/134/253980/9693/2894/27020/4208/2917/3092/6900/22839/785/5334/4355/2905/140730/10013/107/8499/85445/1627/5601/4204/127833/6536/3776/9498/9746/2166/1760/5048/5534/25769/91683/26232/259232/5649/1129/64854/22987/1855/114781/140689/4756/91851/5999/84628/7143/9513/388336/22849/9381/3351/5577/3356/9495/9899/9066/57555/8938/6844/869/794/5270/4747/8224/9211/5581/440279/5530/8526/5579/23613/64101/5621/29882/4130/729993/2903/152330/1395/54413/1816/5590/347730/4137/5789/9254/9118/477/22941/116443/23096/59283/2915/4744/84502/57497/2185/321/6860/1142/147381/5786/57338/5335/488/10718/6792/79012/3706/112476/65018/57537/2911/729956/10814/6857/6623/11170/816/6622/3745/2914/1141/23316/57465/5924/320/6853/815/127262/9463/5575/9379/774/6616/10368/28964/1759/818/2912/3766/84446/8831/2913/1742/22883/10858/9783/2902/10369/6855/4761/5582/5923/5864/9228/6861/6543/10815/6804/23025/613/1812/23542/2775/6812/56301/766/50944/29/8927/112755/1128/8541/2550/9145/6529/23154/85358,gfa_rna_gsea_f6,GFA,F6
