ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,Factor,Method,Term,neglog10_padj
GO:0001666,response to hypoxia,20/275,281/13960,0.0711743772241993,3.6130702038175353,6.272608217403882,7.533768746096607e-7,5.183020699827438e-4,NA,AGTRAP/THBS1/PLAU/CYGB/CAV1/FZD4/ZFP36L1/DIO3/TGFB2/RYR2/HIF3A/ACE/KCNA5/ITGA2/TERC/NDRG1/UCP2/STC2/ADM/ADA,20,F11,GFA,response to hypoxia,3.2854170566818115
GO:0070482,response to oxygen levels,21/275,316/13960,0.06645569620253164,3.373532796317606,6.049772209387669,1.2113575415477364e-6,5.183020699827438e-4,NA,AGTRAP/THBS1/PLAU/CYGB/CAV1/FZD4/ZFP36L1/DIO3/TGFB2/RYR2/HIF3A/ACE/KCNA5/ITGA2/TERC/NDRG1/MAP1LC3A/UCP2/STC2/ADM/ADA,21,F11,GFA,response to oxygen levels,3.2854170566818115
GO:0061337,cardiac conduction,11/275,90/13960,0.12222222222222222,6.204444444444444,7.021477375570975,1.4890093834729818e-6,5.259181142426571e-4,NA,SCN3B/TBX18/CAV1/KCND3/RYR2/ACE/KCNA5/KCNH2/CACNA1G/ISL1/PKP2,11,F11,GFA,cardiac conduction,3.279081870486889
GO:0071280,cellular response to copper ion,6/275,21/13960,0.2857142857142857,14.503896103896103,8.778575040851118,2.341513934097331e-6,7.51838837748343e-4,NA,MT1X/MT1M/MT1E/MT1F/MAP1LC3A/SNCA,6,F11,GFA,cellular response to copper ion,3.1238752436872006
GO:0060911,cardiac cell fate commitment,5/281,12/13960,0.4166666666666667,20.69988137603796,9.784787616253803,2.2498014503597857e-6,8.494250364802835e-4,NA,WT1/SOX17/WNT3A/ISL1/TBX3,5,F7,GFA,cardiac cell fate commitment,3.0708749424918076
GO:0060562,epithelial tube morphogenesis,21/281,320/13960,0.065625,3.2602313167259784,5.862378174907096,2.0955961028521875e-6,8.494250364802835e-4,NA,HAND1/WT1/OVOL2/ADAMTS16/SOX17/GREM1/FOXD1/NOTO/SLIT2/WNT1/CSF1/GDF7/WNT3A/TMEM59L/IRX2/CELSR1/IRX3/HOXB7/VDR/HAND2/TBX3,21,F7,GFA,epithelial tube morphogenesis,3.0708749424918076
GO:0002768,immune response-regulating cell surface receptor signaling pathway,21/279,369/18986,0.05691056910569105,3.872774426668998,6.805580713164803,1.3982309691045597e-7,4.722975878998052e-4,NA,PRKD2/FCER1G/BCAR1/KLHL6/VAV2/SHB/CD160/NOD2/IFI35/LGALS3/BTLA/CEACAM1/SH2B2/LAT/TYROBP/HLA-A/BCL10/PLSCR1/CD200R1/PTPN22/FOXP1,21,F4,MOFA,"immune response-regulating cell surface receptor
signaling pathway",3.32578427242982
GO:0002285,lymphocyte activation involved in immune response,16/279,227/18986,0.07048458149779736,4.79648840257054,7.0274132586368365,2.6578367355081893e-7,4.722975878998052e-4,NA,FCER1G/CLCF1/LGALS1/SHB/CD160/LCP1/HLA-DMB/LGALS3/MFNG/CEACAM1/TYROBP/FOXP1/STAT5A/AP1G1/SPN/NLRP3,16,F4,MOFA,lymphocyte activation involved in immune response,3.32578427242982
GO:0002286,T cell activation involved in immune response,12/279,136/18986,0.08823529411764706,6.004427577482606,7.1527577210202065,8.053857172588812e-7,4.7705680652301066e-4,NA,FCER1G/LGALS1/SHB/LCP1/HLA-DMB/LGALS3/CEACAM1/TYROBP/FOXP1/STAT5A/SPN/NLRP3,12,F4,MOFA,T cell activation involved in immune response,3.321429903369612
GO:0002429,immune response-activating cell surface receptor signaling pathway,19/279,336/18986,0.05654761904761905,3.848075610172384,6.432607674865712,6.165970598477997e-7,4.7705680652301066e-4,NA,PRKD2/FCER1G/BCAR1/KLHL6/VAV2/SHB/CD160/NOD2/IFI35/LGALS3/CEACAM1/SH2B2/LAT/TYROBP/HLA-A/BCL10/PLSCR1/PTPN22/FOXP1,19,F4,MOFA,"immune response-activating cell surface receptor
signaling pathway",3.321429903369612
