ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,Factor,Method,factor,Term
GO:0071674,mononuclear cell migration,186,0.5823655138605268,2.6360236661235965,1e-10,4.531578947368421e-9,NA,2356,"tags=46%, list=16%, signal=39%",7226/1240/11035/56833/1436/8792/719/5025/5175/5293/11151/729230/29108/7535/59341/6352/91662/54209/7941/3695/240/728/131450/5294/1234/1236/4814/4920/10344/5641/7852/81704/57509/3676/7057/64005/199/3570/56253/1230/1265/284114/2529/5795/6504/6368/6387/2683/6693/2358/83692/430/2625/6283/2185/4067/6793/566/7474/79148/7124/969/140885/4313/2838/5155/1843/2059/58191/3579/6347/8740/347/3383/6355/11240/5747/255231/146433/3577/3627/4323/7040/1435/101,gfa_rna_gsea_f4,GFA,F4,mononuclear cell migration
GO:0006911,"phagocytosis, engulfment",44,0.7394962027047663,2.6267890229156716,1e-10,4.531578947368421e-9,NA,1306,"tags=50%, list=9%, signal=46%",2934/10347/3689/3071/5336/54209/3684/4481/11314/9844/7057/51411/199/4627/8678/9938/23616/8685/718/55113/55198/91937,gfa_rna_gsea_f4,GFA,F4,"phagocytosis, engulfment"
GO:0002757,immune response-activating signaling pathway,424,0.534525788802322,2.626171814890387,1e-10,4.531578947368421e-9,NA,1747,"tags=35%, list=12%, signal=32%",1240/55666/8517/2359/150372/7409/6850/1520/89857/3932/146722/5777/695/81622/3071/22861/51311/84433/1535/719/3055/53347/1493/5293/5336/940/4210/2268/84868/29108/7535/4034/917/915/124599/58484/929/4773/3635/54209/971/7100/7294/919/1378/3684/54941/3654/7805/7305/3115/2357/728/387357/11006/1236/171389/118788/4814/11314/51284/916/10062/2219/5583/7462/23149/57864/7706/80342/26191/84174/84807/7096/4790/64127/25921/3937/100/64005/64581/7097/7006/9404/7070/8878/3988/925/11027/10333/50852/84282/114548/79931/114609/5058/51296/8678/10924/2207/5795/6280/974/3312/4332/2885/89870/8638/930/2358/11213/2625/23643/2672/5621/3430/718/23228/84106/4067/285852/55198/27293/2099/4068/2867/4669/7124/3551/8631/56940/6279/79132/26253/81035/9447/4938/409/3665/10584/660/4277/79908/1845/80149/9684/23151,gfa_rna_gsea_f4,GFA,F4,immune response-activating signaling pathway
GO:0002253,activation of immune response,476,0.5255035158553047,2.6059669398985243,1e-10,4.531578947368421e-9,NA,1747,"tags=34%, list=12%, signal=31%",1240/55666/8517/2359/150372/712/7409/6850/713/1675/714/1520/89857/3932/146722/5777/695/81622/3071/22861/51311/84433/1535/719/3055/53347/1493/5293/5336/940/4210/2268/84868/11326/29108/7535/4034/917/915/124599/58484/929/4773/3635/54209/971/7100/7294/919/1378/3684/54941/3654/7805/7305/3115/2357/728/387357/11006/1236/171389/118788/4814/11314/2/51284/916/10062/2219/5583/7462/23149/9641/57864/7706/80342/26191/84174/84807/7096/4790/64127/25921/3937/100/64005/64581/7097/57169/7006/9404/7070/8878/3988/925/11027/10333/50852/84282/114548/79931/114609/5058/51296/8678/10924/81030/2207/5795/6280/974/3312/4332/2885/89870/8638/930/730/2358/11213/2625/23643/2672/5621/3430/718/23228/84106/922/4067/285852/55198/27293/338322/2099/4068/1604/2867/4669/7124/3551/8631/839/56940/6279/79132/26253/81035/9447/4938/409/3665/10584/660/4277/79908/717/722/1845/80149/9684/23151,gfa_rna_gsea_f4,GFA,F4,activation of immune response
GO:0050684,regulation of mRNA processing,106,-0.5573945475351696,-2.6050736366637883,1e-10,4.531578947368421e-9,NA,2171,"tags=43%, list=14%, signal=37%",1859/3190/11338/57060/23210/5394/51574/984/4691/10657/1207/4858/3181/494115/10284/10250/27316/79811/9444/3178/6625/65109/9584/22916/10181/22938/55110/3192/10521/9939/170506/7072/10179/5936/57703/9589/2332/79577/29896/1153/6434/91746/4857/58517/55082/65110,gfa_rna_gsea_f4,GFA,F4,regulation of mRNA processing
GO:0000070,mitotic sister chromatid segregation,169,0.6707191304588312,3.354102537713219,1e-10,2.0536082474226807e-9,NA,2222,"tags=51%, list=15%, signal=44%",4605/83540/3833/56992/146909/29128/11004/11065/113130/221150/57405/22974/23397/9212/7272/991/4751/332/55143/4085/9787/81620/9700/1063/147841/5347/701/64105/983/699/26271/3835/64151/9319/24137/9928/9493/220134/10403/3832/10615/891/11130/81930/54892/10592/29127/1062/10051/1104/2491/348235/10459/9735/5885/7283/9918/26065/148479/23310/8086/51529/10735/9126/55055/3619/3192/26993/5501/29781/10726/7517/54984/8467/84722/5901/79998/8697/79003/22919/51434/8243/91272/10524/7756/27183,F2,MOFA,NA,mitotic sister chromatid segregation
GO:0000819,sister chromatid segregation,207,0.6574063932618025,3.282296942593875,1e-10,2.0536082474226807e-9,NA,2222,"tags=49%, list=15%, signal=43%",4605/83540/3833/56992/7153/605/146909/29128/11004/11065/113130/221150/57405/22974/23397/9212/7272/991/4751/332/55143/4085/9787/81620/9700/1063/147841/5347/701/64105/983/699/26271/3835/64151/9319/24137/9928/9493/220134/10403/8193/3832/10615/891/11130/81930/54892/10592/990/29127/1062/10051/1104/2491/348235/10459/9735/6602/7155/10460/6597/5885/6599/7283/9918/26065/148479/23310/8086/51529/10735/29117/29882/6598/9126/55055/3619/3192/5977/86/26993/5501/29781/10726/7517/54984/8467/84722/6604/5901/79998/8697/55274/79003/22919/51434/8243/91272/10524/7756/27183,F2,MOFA,NA,sister chromatid segregation
GO:0051983,regulation of chromosome segregation,122,0.6659390885602263,3.203663093002943,1e-10,2.0536082474226807e-9,NA,2036,"tags=52%, list=14%, signal=45%",83540/605/11004/11065/221150/57405/23397/9212/7272/991/332/55143/4085/9787/9700/1063/147841/5347/701/983/699/26271/64151/9319/220134/10403/8193/891/11130/54892/4288/157313/10592/990/1062/10051/10459/9735/56852/6602/10460/6597/5885/6599/9918/23310/51529/29117/29882/6598/55055/3619/3192/5977/86/29781/55920/1457/7517/6604/8697/55274/51434,F2,MOFA,NA,regulation of chromosome segregation
GO:0051310,metaphase chromosome alignment,86,0.709505050603851,3.2022775018549883,1e-10,2.0536082474226807e-9,NA,2222,"tags=55%, list=15%, signal=47%",83540/3833/11004/113130/221150/57405/9212/7272/4751/332/55143/81620/1063/147841/983/3835/9928/1894/220134/10403/81610/10615/891/11130/81930/55166/29127/1062/348235/9735/79980/55055/3619/3192/55920/10726/11243/54984/84722/79998/8697/79003/22919/91272/10524/7756/27183,F2,MOFA,NA,metaphase chromosome alignment
GO:0051304,chromosome separation,76,0.7072156256652555,3.163353733896569,1e-10,2.0536082474226807e-9,NA,1302,"tags=47%, list=9%, signal=43%",83540/11065/221150/57405/23397/9212/7272/991/332/55143/4085/9787/9700/1063/147841/5347/701/699/26271/64151/9319/220134/10403/891/11130/54892/10592/10051/10459/9735/5885/9918/23310/51529/55055/3619,F2,MOFA,NA,chromosome separation
