ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,Factor,Method,factor,neglog10_padj,Term
GO:0071674,mononuclear cell migration,186,0.5418822088898411,2.789480649833455,1e-10,3.334269662921348e-9,NA,2488,"tags=45%, list=17%, signal=38%",5054/3958/6347/1265/728/6364/4323/7057/11117/101/7852/301/6288/4192/56833/29108/3627/10563/7040/6223/199/2358/54209/80270/64005/3383/729230/9466/1843/811/23521/58191/2683/240/6354/6352/5919/1435/719/3569/6373/8772/3676/59341/1240/4739/1588/10344/1230/4313/6283/4920/4814/708/1234/928/11035/430/11151/387/284114/1436/80310/4478/975/5175/1236/5025/50848/4067/8740/6355/5294/998/969/91662/1907/3690/5641/8792/196527/9023/10488/6793,F4,MOFA,NA,8.476999279018283,mononuclear cell migration
GO:0002181,cytoplasmic translation,150,0.5312709320135476,2.2968669272710964,1e-10,6.027000000000001e-7,NA,3215,"tags=53%, list=21%, signal=42%",6161/6156/6206/6170/6202/9349/6188/6168/8667/26986/6222/6133/6232/4904/3921/6224/6155/6146/6125/51386/6167/6169/6217/6124/6135/6230/6201/6194/6129/6210/6138/6165/10642/6152/6130/6164/6142/6189/6235/6227/3646/6205/6160/6136/6143/24140/9045/6159/6223/6128/6204/6122/6187/6233/2197/6134/6175/7812/6132/6137/23521/6154/6234/51389/9567/55124/6176/22849/8661/1936/5936/8664/6141/4733/8893/6207/6191/23057/6451,F5,MOFA,NA,6.219898808532088,cytoplasmic translation
GO:0042398,cellular modified amino acid biosynthetic process,40,-0.6163161948804561,-2.038690118968218,3.4382408252090896e-5,0.04050364232141697,NA,2589,"tags=52%, list=17%, signal=44%",10588/34/2643/6470/4522/8985/5352/81490/471/1152/4258/79094/2593/23657/5359/376497/2628/55349/8424/6506/501,F5,MOFA,NA,1.3925059207614678,cellular modified amino acid biosynthetic process
GO:0030593,neutrophil chemotaxis,74,-0.49726217265310874,-1.8912840896067409,6.65037982078642e-5,0.04050364232141697,NA,2700,"tags=39%, list=18%, signal=32%",6283/728/6279/23396/6280/6288/57118/2919/7060/682/6374/1800/3627/1906/2921/64065/5478/3672/5879/1907/5142/6373/2920/1803/7042/4192/3958/7130/10451,F5,MOFA,NA,1.3925059207614678,neutrophil chemotaxis
GO:0071621,granulocyte chemotaxis,109,-0.4634049609480879,-1.8575719512086608,2.3703547028684337e-5,0.04050364232141697,NA,2700,"tags=35%, list=18%, signal=29%",6283/728/6279/23396/6280/6370/6288/7057/57118/2919/57402/7060/682/6374/1800/6347/3627/1906/2921/64065/5478/3672/5879/1907/5142/6373/84818/2920/7422/7857/1803/5919/7042/4192/3958/7130/301/10451,F5,MOFA,NA,1.3925059207614678,granulocyte chemotaxis
GO:0097530,granulocyte migration,130,-0.42903881084352025,-1.774612833899848,7.392401950150766e-5,0.04050364232141697,NA,2700,"tags=32%, list=18%, signal=27%",6283/728/6279/23396/6280/6370/6288/255231/7057/57118/2919/57402/7060/682/6374/1800/2526/6347/3627/1906/2921/64065/5478/3672/5657/5879/1907/5142/6373/84818/2920/7422/7857/1803/4615/5919/7042/4192/3958/7130/301/10451,F5,MOFA,NA,1.3925059207614678,granulocyte migration
GO:0006575,cellular modified amino acid metabolic process,150,-0.403002374524112,-1.707586989203269,1.0418822757316155e-4,0.04830326519872652,NA,2589,"tags=33%, list=17%, signal=27%",10588/80025/114879/3417/2625/34/7849/2950/29958/54677/2643/8836/6470/51301/445/4522/8985/84879/5352/81490/1800/33/1428/7298/78991/154141/53919/471/1152/4258/79094/2593/23657/2949/373156/25974/4693/5359/5625/376497/1757/26873/2628/114884/55349/8424/10840/6506/501,F5,MOFA,NA,1.3160235108663076,cellular modified amino acid metabolic process
GO:0043123,positive regulation of canonical NF-kappaB signal transduction,200,-0.3889226505270795,-1.7044650695202084,5.098502677086976e-5,0.04050364232141697,NA,3931,"tags=42%, list=26%, signal=31%",9218/7334/10769/9966/3553/114609/124583/51704/6398/54602/2150/1902/4142/29775/3162/3661/11040/51135/54862/339123/79594/57506/23390/3987/23476/5536/4055/10758/8837/3611/6283/5587/7105/84851/2319/56674/8740/6275/148022/10616/6737/57153/8737/7098/8454/1906/8717/55128/80762/10392/56829/8795/3656/7132/11043/841/7189/9516/6285/22954/3956/51523/4057/834/80216/1491/684/7422/222068/1910/114769/7188/92610/10783/4615/117854/330/7037/60401/2697/85363/55504/6284/4919,F5,MOFA,NA,1.3925059207614678,positive regulation of canonical NF-kappaB signal transduction
GO:0097529,myeloid leukocyte migration,201,-0.38425435312276573,-1.6849836424698637,5.55708088334336e-5,0.04050364232141697,NA,2700,"tags=30%, list=18%, signal=25%",6283/728/6279/23396/6280/6370/6288/255231/7057/727/57118/2919/928/57402/140885/2321/7060/682/2185/3146/6374/1800/2526/6347/3627/84675/1906/80310/2921/64065/57509/5478/3672/5295/5657/5879/4067/1907/5142/6373/84818/2920/5054/7422/7857/79148/4254/1910/4313/1803/4615/5919/7042/4323/4192/23075/3958/7130/301/10451,F5,MOFA,NA,1.3925059207614678,myeloid leukocyte migration
GO:0042773,ATP synthesis coupled electron transport,79,-0.7571351650150053,-3.2891049165833364,1e-10,1.401627906976744e-8,NA,1936,"tags=70%, list=13%, signal=61%",54949/6622/7384/4728/9377/11315/51103/23479/4719/4704/1716/4725/4696/65018/637/1346/4710/4700/4717/4715/4716/7385/1327/4712/4708/6392/1350/1537/6390/4714/1340/27069/4694/4724/9167/7386/4706/29103/4722/4707/55967/7388/4713/4718/27089/1351/4711/1329/4695/51142/4709/1347/1349/1337/4697,F6,MOFA,NA,7.853367264111675,ATP synthesis coupled electron transport
