"factor_id","VE_RNA","VE_METH","VE_TOTAL","Rank","Factor","RNA_share","Class"
"Factor1",16.9824040594993,0.0680718364769239,17.0504758959762,1,"F1",0.996007628356403,"RNA-specific"
"Factor2",8.1696848945988,7.89170223009469,16.0613871246935,2,"F2",0.508653756439154,"Shared"
"Factor3",0.596069035530922,15.0730939019606,15.6691629374915,3,"F3",0.0380408984135784,"METH-specific"
"Factor4",12.9920882003328,1.02875285397434,14.0208410543071,4,"F4",0.926626879943246,"RNA-specific"
"Factor5",3.65241455295811,7.9179015414169,11.570316094375,5,"F5",0.315671112454201,"Shared"
"Factor6",4.15563586923206,0.00530782865296731,4.16094369788502,6,"F6",0.998724369028193,"RNA-specific"
"Factor7",3.32212182198518,0.234331157057899,3.55645297904308,7,"F7",0.93411099248641,"RNA-specific"
"Factor8",0.037998942844053,3.07291756258048,3.11091650542453,8,"F8",0.0122147099665947,"METH-specific"
"Factor9",2.25565451212471,0.00231850845638926,2.25797302058109,9,"F9",0.998973190363544,"RNA-specific"
