ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,Factor
GO:0010038,response to metal ion,19/273,345/18986,0.05507246376811594,3.8300578648404735,6.407449252145553,6.608229399417258e-7,0.0022362248287628003,NA,MT1M/KCNB1/MT1E/MT1F/UCP2/PAM/CRIP1/PPP2CB/NFATC4/RYR2/ACTA1/RASGRP2/THBS1/MT2A/CPNE5/FGG/GLRA1/CPNE2/PDX1,19,Factor5
GO:0045165,cell fate commitment,16/273,297/18986,0.05387205387205387,3.74657441324108,5.762241792810071,6.7773701941965665e-6,0.005985195781525708,NA,GSX2/PDPN/PITX1/GATA6/TBR1/TBX18/TBX3/SOX8/NOTCH3/BARHL2/LGALS1/ISL1/LATS2/FOXA1/WNT7B/FOXA2,16,Factor5
GO:0010043,response to zinc ion,7/273,52/18986,0.1346153846153846,9.361932938856016,7.292930605857024,9.05737692934695e-6,0.005985195781525708,NA,MT1M/MT1E/MT1F/PAM/CRIP1/MT2A/GLRA1,7,Factor5
GO:0060485,mesenchyme development,17/273,341/18986,0.04985337243401759,3.467092047737209,5.5525984116867,9.715074892534776e-6,0.005985195781525708,NA,CUL7/MDK/PDPN/WWTR1/FRZB/VASN/ACTA1/SEMA6A/TBX3/BASP1/SOX8/SEMA3E/BMPR2/ISL1/FOXA1/MSX2/FOXA2,17,Factor5
GO:0030178,negative regulation of Wnt signaling pathway,12/273,181/18986,0.06629834254143646,4.610770445024588,5.895456144016701,1.266726832292973e-5,0.005985195781525708,NA,MDK/WWTR1/FRZB/SHISA2/LZTS2/NFATC4/TBX18/MDFI/FERMT1/ISL1/LATS2/DKK4,12,Factor5
GO:0014706,striated muscle tissue development,19/273,424/18986,0.04481132075471698,3.1164385928536866,5.323424901784817,1.3251664267720398e-5,0.005985195781525708,NA,NR4A1/FES/MEOX2/MYOZ2/NPPB/COL19A1/MEGF10/PITX1/GATA6/CFLAR/RYR2/ACTA1/TBX18/TBX3/SOX8/MYOCD/ISL1/MSX2/ADRA1A,19,Factor5
GO:0003161,cardiac conduction system development,6/273,37/18986,0.16216216216216217,11.277695277695278,7.558199774648914,1.3374660075716253e-5,0.005985195781525708,NA,NPPB/GATA6/TBX18/TBX3/ISL1/MSX2,6,Factor5
GO:0071248,cellular response to metal ion,12/273,183/18986,0.06557377049180328,4.560379511199184,5.8455203997568645,1.4149399010699074e-5,0.005985195781525708,NA,MT1M/KCNB1/MT1E/MT1F/UCP2/NFATC4/ACTA1/RASGRP2/MT2A/CPNE5/GLRA1/CPNE2,12,Factor5
GO:0003163,sinoatrial node development,4/273,12/18986,0.3333333333333333,23.18192918192918,9.283792066515916,1.8902536377307373e-5,0.006813003493272976,NA,GATA6/TBX18/TBX3/ISL1,4,Factor5
GO:0071294,cellular response to zinc ion,5/273,24/18986,0.20833333333333334,14.48870573870574,7.986357475911896,2.0132989046314943e-5,0.006813003493272976,NA,MT1M/MT1E/MT1F/MT2A/GLRA1,5,Factor5
