ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,Factor
GO:0002768,immune response-regulating cell surface receptor signaling pathway,21/279,369/18986,0.056910569105691054,3.872774426668998,6.805580713164803,1.3982309691045597e-7,4.722975878998052e-4,NA,PRKD2/FCER1G/BCAR1/KLHL6/VAV2/SHB/CD160/NOD2/IFI35/LGALS3/BTLA/CEACAM1/SH2B2/LAT/TYROBP/HLA-A/BCL10/PLSCR1/CD200R1/PTPN22/FOXP1,21,Factor4
GO:0002285,lymphocyte activation involved in immune response,16/279,227/18986,0.07048458149779736,4.79648840257054,7.0274132586368365,2.6578367355081893e-7,4.722975878998052e-4,NA,FCER1G/CLCF1/LGALS1/SHB/CD160/LCP1/HLA-DMB/LGALS3/MFNG/CEACAM1/TYROBP/FOXP1/STAT5A/AP1G1/SPN/NLRP3,16,Factor4
GO:0002429,immune response-activating cell surface receptor signaling pathway,19/279,336/18986,0.05654761904761905,3.8480756101723843,6.432607674865712,6.165970598477997e-7,4.7705680652301066e-4,NA,PRKD2/FCER1G/BCAR1/KLHL6/VAV2/SHB/CD160/NOD2/IFI35/LGALS3/CEACAM1/SH2B2/LAT/TYROBP/HLA-A/BCL10/PLSCR1/PTPN22/FOXP1,19,Factor4
GO:1902105,regulation of leukocyte differentiation,19/279,337/18986,0.05637982195845697,3.836656988183742,6.4165166981127175,6.449043276811302e-7,4.7705680652301066e-4,NA,CCR1/LIF/CD101/LGALS1/MIR125B1/TLR3/SHB/CASP8/CEACAM1/FANCD2/TYROBP/CD2/SLAMF8/FOXP1/STAT5A/MMP14/KAT2A/NLRP3/HLA-B,19,Factor4
GO:0002697,regulation of immune effector process,21/279,410/18986,0.05121951219512195,3.485496984002098,6.213472733981412,7.906853962637488e-7,4.7705680652301066e-4,NA,RSAD2/CLCF1/LGALS1/TLR3/SHB/CD160/NOD2/HLA-DMB/LGALS3/CEACAM1/MYO18A/TYROBP/HLA-A/BCL10/SLAMF8/STAT5A/AP1G1/CFP/SPN/NLRP3/HLA-B,21,Factor4
GO:0002286,T cell activation involved in immune response,12/279,136/18986,0.08823529411764706,6.004427577482606,7.1527577210202065,8.053857172588812e-7,4.7705680652301066e-4,NA,FCER1G/LGALS1/SHB/LCP1/HLA-DMB/LGALS3/CEACAM1/TYROBP/FOXP1/STAT5A/SPN/NLRP3,12,Factor4
GO:0002366,leukocyte activation involved in immune response,18/279,315/18986,0.05714285714285714,3.8885816692268302,6.313373275849392,1.0546777618990964e-6,5.354749665413412e-4,NA,FCER1G/CLCF1/LGALS1/SHB/CD160/LCP1/IFI35/HLA-DMB/LGALS3/MFNG/CEACAM1/LAT/TYROBP/FOXP1/STAT5A/AP1G1/SPN/NLRP3,18,Factor4
GO:0002263,cell activation involved in immune response,18/279,319/18986,0.05642633228840126,3.8398220244716352,6.246755820185559,1.2638168917057238e-6,5.614506541402678e-4,NA,FCER1G/CLCF1/LGALS1/SHB/CD160/LCP1/IFI35/HLA-DMB/LGALS3/MFNG/CEACAM1/LAT/TYROBP/FOXP1/STAT5A/AP1G1/SPN/NLRP3,18,Factor4
GO:0071706,tumor necrosis factor superfamily cytokine production,13/279,193/18986,0.06735751295336788,4.583690827715565,6.111058793504549,5.865435055176914e-6,0.002084575618609875,NA,CX3CL1/BPI/MIR125B1/TLR3/ARFGEF2/NOD2/ARHGEF2/TYROBP/BCL10/CD2/PTPN22/FOXP1/SPN,13,Factor4
GO:1903555,regulation of tumor necrosis factor superfamily cytokine production,13/279,193/18986,0.06735751295336788,4.583690827715565,6.111058793504549,5.865435055176914e-6,0.002084575618609875,NA,CX3CL1/BPI/MIR125B1/TLR3/ARFGEF2/NOD2/ARHGEF2/TYROBP/BCL10/CD2/PTPN22/FOXP1/SPN,13,Factor4
