gene
RPE65_METH
CMTM2_METH
TMPRSS5_METH
PAQR6_METH
CLEC14A_METH
NOD2_METH
RFX8_METH
LCN9_METH
MIR124-2_METH
TIMP4_METH
NWD1_METH
PLCB2_METH
OBP2B_METH
CD1C_METH
WFDC11_METH
GFAP_METH
LCP1_METH
CST7_METH
HKDC1_METH
OR52H1_METH
HTRA4_METH
OR10A4_METH
DCT_METH
LGALS3BP_METH
STMN4_METH
KCNAB3_METH
BIN2_METH
CCL18_METH
C12orf71_METH
DAPL1_METH
FGF7_METH
RAPGEF2_METH
CX3CL1_METH
CHRNA2_METH
OXT_METH
BTBD17_METH
ANKRD44_METH
TPPP3_METH
SLC10A6_METH
PROCA1_METH
ANKFN1_METH
CNTFR_METH
IER3_METH
C1orf162_METH
CD33_METH
PHACTR1_METH
FABP5_METH
CENPV_METH
CYP2F1_METH
DCD_METH
CTSZ_METH
TBX15_METH
TRAF1_METH
TMC3_METH
SERPINB9_METH
CA9_METH
CASS4_METH
TNFRSF10A_METH
SLC13A5_METH
LRRN3_METH
GZMA_METH
SNORD71_METH
ELSPBP1_METH
MYO1A_METH
TBX4_METH
CEACAM4_METH
OR52B2_METH
MSX1_METH
SPDYE4_METH
PRELP_METH
TMEM204_METH
TMEM144_METH
TM4SF18_METH
LY75_METH
GRAMD1B_METH
SIRPD_METH
HOXA9_METH
MNDA_METH
FLOT1_METH
MYO1G_METH
GPR75_METH
KLHL34_METH
GBP4_METH
HPGDS_METH
LAG3_METH
PLA2G5_METH
COCH_METH
NPPA_METH
GJA3_METH
COX6A2_METH
SERPINB1_METH
CMA1_METH
TAS2R39_METH
HAAO_METH
FCER1G_METH
CAMK2A_METH
CHRNB4_METH
DHRS3_METH
CFP_METH
EVX1_METH
OR51M1_METH
PEBP4_METH
MCHR2_METH
PLCD4_METH
KLHDC8A_METH
ARHGDIB_METH
HEPH_METH
HEYL_METH
RAB40A_METH
IRAK3_METH
FABP7_METH
GPRC5B_METH
OXTR_METH
BANK1_METH
GCM2_METH
OR1J4_METH
PTER_METH
AQP5_METH
PIPOX_METH
CYP8B1_METH
CNTN6_METH
IDO2_METH
PCDHB15_METH
CCL11_METH
GLYATL1_METH
P4HA3_METH
RCAN2_METH
SGPP2_METH
PTPN6_METH
CCL7_METH
LRRTM2_METH
BSPRY_METH
RIMBP2_METH
LCE1D_METH
LRRC14B_METH
HLA-G_METH
EGOT_METH
BTLA_METH
LOC375196_METH
LAMA4_METH
RFFL_METH
DLEC1_METH
CMTM7_METH
LCTL_METH
C12orf56_METH
OTX2_METH
SYCE1_METH
RBP7_METH
ZBP1_METH
APOL1_METH
NLRC3_METH
ITGA2B_METH
SFTPA1_METH
USH2A_METH
SSTR3_METH
KDM2A_METH
MAL2_METH
WFDC2_METH
P2RY13_METH
GPT_METH
LRRC17_METH
CRX_METH
BHMT_METH
SLC25A18_METH
LCE1C_METH
OR51I1_METH
PRKD1_METH
GOLM1_METH
PHKG1_METH
RGR_METH
CASP10_METH
OR5AU1_METH
PRKD3_METH
MGAT4C_METH
CXCL12_METH
NHLH1_METH
OR7D4_METH
RCSD1_METH
GDNF_METH
OR2AG1_METH
ZFP42_METH
GDPD2_METH
SLC38A2_METH
CD34_METH
GRIP1_METH
SERPINA11_METH
MYH8_METH
HOXC11_METH
VWF_METH
FAM180A_METH
ASB12_METH
C14orf39_METH
TRIM63_METH
NKAPL_METH
C2orf80_METH
TCF21_METH
AQP12A_METH
ATP13A4_METH
CCKAR_METH
ELF4_METH
NR0B2_METH
DNMT3L_METH
MYL3_METH
BOLL_METH
PON3_METH
HHEX_METH
SLCO4C1_METH
NPS_METH
FAP_METH
CAP2_METH
PRR15L_METH
CYP7B1_METH
HRH4_METH
HPD_METH
IBSP_METH
ZACN_METH
FMN1_METH
HOXA11_METH
PKD1L3_METH
C22orf31_METH
CATSPER1_METH
C14orf180_METH
PAX9_METH
DCBLD1_METH
PBXIP1_METH
OR1E1_METH
PHYHD1_METH
SFRP1_METH
PRR15_METH
SPRR2D_METH
DSC3_METH
HOXD12_METH
BTNL2_METH
SLC15A2_METH
ORM2_METH
RAP1GAP2_METH
NUAK1_METH
CASQ1_METH
ADAM32_METH
C4BPB_METH
TEC_METH
CFTR_METH
PRSS3_METH
MYO15A_METH
TMEM216_METH
ARHGEF4_METH
OVCH2_METH
CYP4B1_METH
SCN7A_METH
MMP15_METH
ST8SIA6_METH
VWDE_METH
TBPL2_METH
REN_METH
CUEDC1_METH
LRRN4CL_METH
RINL_METH
POPDC2_METH
ENG_METH
SH2D6_METH
LXN_METH
MMP12_METH
TINAG_METH
BARX1_METH
DSP_METH
SLC8A2_METH
PLCH1_METH
C15orf48_METH
SLC38A7_METH
HSPB3_METH
CCL14_METH
FAM83F_METH
ADAM28_METH
PLA2R1_METH
KLHL6_METH
TACR2_METH
TK2_METH
GP9_METH
ECHDC3_METH
TSPYL5_METH
GRIK4_METH
AP1S3_METH
SPINT2_METH
GJB6_METH
LTB4R_METH
ARHGAP15_METH
MC2R_METH
OR51B5_METH
IFNGR2_METH
GLS2_METH
OR52K2_METH
GLYAT_METH
EPHX3_METH
FGD4_METH
GAMT_METH
PPP1R14A_METH
RFTN2_METH
SERPINA10_METH
SLC22A7_METH
WNK2_METH
