ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,Factor
GO:0019985,translesion synthesis,5/271,26/18986,0.19230769230769232,13.472892421231904,7.658253084462124,2.9381397955271244e-5,0.0455331285008431,NA,POLQ/PARP10/VCP/POLD3/POLI,5,Factor7
GO:0060563,neuroepithelial cell differentiation,6/271,44/18986,0.13636363636363635,9.55350553505535,6.835221508945587,3.5826132167884505e-5,0.0455331285008431,NA,FAM20C/SERPINE1/SOX4/IFT80/TUBB/SOX11,6,Factor7
GO:0000731,DNA synthesis involved in DNA repair,6/271,47/18986,0.1276595744680851,8.943707309413519,6.561281508428334,5.257846083469862e-5,0.0455331285008431,NA,POLQ/WRN/PARP10/VCP/POLD3/POLI,6,Factor7
GO:0071383,cellular response to steroid hormone stimulus,12/271,213/18986,0.056338028169014086,3.9469882022763887,5.204708240222175,5.8752423872055615e-5,0.0455331285008431,NA,FBXO32/CNOT2/EGFR/KANK2/PMEPA1/DDX17/DNAJA1/ZFP36/NR3C1/TMF1/UFM1/PGRMC2,12,Factor7
