ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,Factor
GO:0002027,regulation of heart rate,13/275,94/13960,0.13829787234042554,7.020502901353965,8.30218102183411,3.6791090205854534e-8,8.744146593991845e-5,NA,SCN3B/CAV1/KCND3/RYR2/ACE/KCNA5/KCNH2/HEY2/CACNA1G/ISL1/PKP2/ADM/ADA,13,F11
GO:0086091,regulation of heart rate by cardiac conduction,9/275,39/13960,0.23076923076923078,11.714685314685315,9.498337716119659,4.951385387311351e-8,8.744146593991845e-5,NA,SCN3B/CAV1/KCND3/ACE/KCNA5/KCNH2/CACNA1G/ISL1/PKP2,9,F11
GO:0042391,regulation of membrane potential,26/275,424/13960,0.06132075471698113,3.1128644939965695,6.262972432867591,3.002276820189943e-7,3.2898063837202813e-4,NA,SCN3B/LRRK2/FGF12/TBX18/CAV1/WNT7A/GNA14/KCND3/ADRB2/BID/NPR2/NALCN/RYR2/RELN/KCNA5/GRIN2C/KCNH2/CBLN1/BOK/SNCA/RIMS2/CACNA1G/SLC39A8/UCP2/FZD9/PKP2,26,F11
GO:0036293,response to decreased oxygen levels,21/275,294/13960,0.07142857142857142,3.625974025974026,6.450813449672167,3.7257150438508284e-7,3.2898063837202813e-4,NA,AGTRAP/THBS1/PLAU/CYGB/CAV1/FZD4/ZFP36L1/DIO3/TGFB2/RYR2/HIF3A/ACE/KCNA5/ITGA2/TERC/NDRG1/MAP1LC3A/UCP2/STC2/ADM/ADA,21,F11
GO:0001666,response to hypoxia,20/275,281/13960,0.0711743772241993,3.6130702038175353,6.272608217403882,7.533768746096607e-7,5.183020699827438e-4,NA,AGTRAP/THBS1/PLAU/CYGB/CAV1/FZD4/ZFP36L1/DIO3/TGFB2/RYR2/HIF3A/ACE/KCNA5/ITGA2/TERC/NDRG1/UCP2/STC2/ADM/ADA,20,F11
GO:0003015,heart process,18/275,238/13960,0.07563025210084033,3.8392666157372033,6.262634219847199,1.1436394105067764e-6,5.183020699827438e-4,NA,SCN3B/FGF12/NOX4/TBX18/CAV1/KCND3/TGFB2/RYR2/ACE/KCNA5/WWTR1/KCNH2/HEY2/CACNA1G/ISL1/PKP2/ADM/ADA,18,F11
GO:0086070,SA node cell to atrial cardiac muscle cell communication,5/275,11/13960,0.45454545454545453,23.074380165289256,10.382081237531851,1.1994937235618705e-6,5.183020699827438e-4,NA,SCN3B/TBX18/RYR2/KCNA5/CACNA1G,5,F11
GO:0070482,response to oxygen levels,21/275,316/13960,0.06645569620253164,3.373532796317606,6.049772209387669,1.2113575415477364e-6,5.183020699827438e-4,NA,AGTRAP/THBS1/PLAU/CYGB/CAV1/FZD4/ZFP36L1/DIO3/TGFB2/RYR2/HIF3A/ACE/KCNA5/ITGA2/TERC/NDRG1/MAP1LC3A/UCP2/STC2/ADM/ADA,21,F11
GO:0086002,cardiac muscle cell action potential involved in contraction,9/275,56/13960,0.16071428571428573,8.15844155844156,7.6087570532158395,1.3207017638291886e-6,5.183020699827438e-4,NA,SCN3B/FGF12/CAV1/KCND3/RYR2/KCNA5/KCNH2/CACNA1G/PKP2,9,F11
GO:0061337,cardiac conduction,11/275,90/13960,0.12222222222222222,6.204444444444444,7.021477375570975,1.4890093834729818e-6,5.259181142426571e-4,NA,SCN3B/TBX18/CAV1/KCND3/RYR2/ACE/KCNA5/KCNH2/CACNA1G/ISL1/PKP2,11,F11
GO:0071280,cellular response to copper ion,6/275,21/13960,0.2857142857142857,14.503896103896103,8.778575040851118,2.341513934097331e-6,7.51838837748343e-4,NA,MT1X/MT1M/MT1E/MT1F/MAP1LC3A/SNCA,6,F11
GO:0086001,cardiac muscle cell action potential,10/275,78/13960,0.1282051282051282,6.508158508158508,6.91510550219554,2.8898361034413245e-6,8.505750931128964e-4,NA,SCN3B/FGF12/TBX18/CAV1/KCND3/RYR2/KCNA5/KCNH2/CACNA1G/PKP2,10,F11
GO:0008016,regulation of heart contraction,15/275,192/13960,0.078125,3.965909090909091,5.866027850131247,6.114865324289318e-6,0.0016613618711838363,NA,SCN3B/TBX18/CAV1/KCND3/TGFB2/RYR2/ACE/KCNA5/KCNH2/HEY2/CACNA1G/ISL1/PKP2/ADM/ADA,15,F11
GO:0043269,regulation of monoatomic ion transport,23/275,420/13960,0.05476190476190476,2.77991341991342,5.250314152479375,9.833174039203087e-6,0.002480769336176093,NA,SCN3B/ARC/FGF12/CAV1/ADRB2/TRPC6/RYR2/DPP10/MS4A1/ACE/DPP6/RELN/PACSIN3/KCNA5/GRIN2C/KCNH2/SNCA/GRM6/UCP2/STC2/ABCB1/KCNIP3/PKP2,23,F11
GO:0060047,heart contraction,16/275,230/13960,0.06956521739130435,3.5313833992094863,5.487287014711407,1.313816456565186e-5,0.003093599816392158,NA,SCN3B/FGF12/TBX18/CAV1/KCND3/TGFB2/RYR2/ACE/KCNA5/KCNH2/HEY2/CACNA1G/ISL1/PKP2/ADM/ADA,16,F11
GO:0097501,stress response to metal ion,5/275,17/13960,0.29411764705882354,14.930481283422461,8.146734589624035,1.4578089223528273e-5,0.0032181131960938663,NA,MT1X/MT1M/MT1E/MT1F/SLC39A8,5,F11
GO:0086003,cardiac muscle cell contraction,9/275,77/13960,0.11688311688311688,5.933412042502951,6.153499788735319,1.9604260845490827e-5,0.00407307348860433,NA,SCN3B/FGF12/CAV1/KCND3/RYR2/KCNA5/KCNH2/CACNA1G/PKP2,9,F11
GO:0046688,response to copper ion,6/275,30/13960,0.2,10.152727272727272,7.113882546972185,2.2072659735587705e-5,0.004140004993523175,NA,MT1X/MT1M/MT1E/MT1F/MAP1LC3A/SNCA,6,F11
GO:1903522,regulation of blood circulation,16/275,240/13960,0.06666666666666667,3.3842424242424243,5.28141234449915,2.227069503877133e-5,0.004140004993523175,NA,SCN3B/TBX18/CAV1/KCND3/TGFB2/RYR2/ACE/KCNA5/KCNH2/HEY2/CACNA1G/ISL1/BMPR2/PKP2/ADM/ADA,16,F11
GO:0061687,detoxification of inorganic compound,5/275,19/13960,0.2631578947368421,13.358851674641146,7.641507727121006,2.652228008216361e-5,0.004683834662510093,NA,MT1X/MT1M/MT1E/MT1F/SLC39A8,5,F11
GO:0003228,atrial cardiac muscle tissue development,5/275,20/13960,0.25,12.690909090909091,7.416568189065374,3.4796209392523133e-05,0.005852391027351986,NA,ZIC3/TBX18/CACNA1G/ISL1/WNT2,5,F11
GO:0086005,ventricular cardiac muscle cell action potential,6/275,33/13960,0.18181818181818182,9.229752066115703,6.709436290992894,3.917962385723609e-5,0.006290110521079903,NA,SCN3B/CAV1/KCND3/RYR2/KCNH2/PKP2,6,F11
GO:0070252,actin-mediated cell contraction,10/275,105/13960,0.09523809523809523,4.834632034632034,5.590957361548882,4.155090356630052e-5,0.006325698111886036,NA,SCN3B/FGF12/CAV1/KCND3/RYR2/KCNA5/KCNH2/CACNA1G/PDPN/PKP2,10,F11
GO:0071276,cellular response to cadmium ion,5/275,21/13960,0.23809523809523808,12.086580086580085,7.207132999813975,4.493830172328137e-5,0.006325698111886036,NA,MT1X/MT1M/MT1E/MT1F/SLC39A8,5,F11
GO:0098815,modulation of excitatory postsynaptic potential,7/275,49/13960,0.14285714285714285,7.251948051948052,6.2144875907102515,4.5143634720255296e-5,0.006325698111886036,NA,LRRK2/WNT7A/ADRB2/RELN/GRIN2C/CBLN1/RIMS2,7,F11
GO:0045823,positive regulation of heart contraction,6/275,34/13960,0.17647058823529413,8.958288770053477,6.58592918154104,4.6795580266963794e-5,0.006325698111886036,NA,SCN3B/TGFB2/RYR2/HEY2/ADM/ADA,6,F11
