ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,Factor
GO:0035195,miRNA-mediated post-transcriptional gene silencing,17/275,215/13960,0.07906976744186046,4.013868921775899,6.313094898995163,1.2364892975247307e-6,0.0033737486294344978,NA,MIR628/MIR648/MIR30A/MIR769/MIR215/MIR194-1/MIR597/MOV10/MIR569/MIR146B/MIR33A/MIR454/MIR23B/MIR27B/MIR558/MIR181A1/MIR181B1,17,F13
GO:0035194,regulatory ncRNA-mediated post-transcriptional gene silencing,17/275,225/13960,0.07555555555555556,3.835474747474747,6.078183547928583,2.3127398523415457e-6,0.0033737486294344978,NA,MIR628/MIR648/MIR30A/MIR769/MIR215/MIR194-1/MIR597/MOV10/MIR569/MIR146B/MIR33A/MIR454/MIR23B/MIR27B/MIR558/MIR181A1/MIR181B1,17,F13
GO:0016441,post-transcriptional gene silencing,17/275,229/13960,0.07423580786026202,3.768479555379119,5.987962583717129,2.940513041343258e-6,0.0033737486294344978,NA,MIR628/MIR648/MIR30A/MIR769/MIR215/MIR194-1/MIR597/MOV10/MIR569/MIR146B/MIR33A/MIR454/MIR23B/MIR27B/MIR558/MIR181A1/MIR181B1,17,F13
GO:0031047,regulatory ncRNA-mediated gene silencing,17/275,273/13960,0.06227106227106227,3.161105561105561,5.1118049060978334,2.9701407731513953e-5,0.023953710545812926,NA,MIR628/MIR648/MIR30A/MIR769/MIR215/MIR194-1/MIR597/MOV10/MIR569/MIR146B/MIR33A/MIR454/MIR23B/MIR27B/MIR558/MIR181A1/MIR181B1,17,F13
GO:0060713,labyrinthine layer morphogenesis,5/275,20/13960,0.25,12.690909090909091,7.416568189065374,3.4796209392523133e-05,0.023953710545812926,NA,NCOA1/SOCS3/RSPO3/ZFP36L1/ADM,5,F13
