ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,Factor
GO:0032715,negative regulation of interleukin-6 production,9/279,48/13960,0.1875,9.381720430107526,8.306715549361863,3.789693779484533e-7,0.001318574278168488,NA,IL10/CX3CL1/NCKAP1L/MIR140/PTPN6/INPP5D/NLRC3/C1QTNF3/PTPN22,9,F5
GO:0032635,interleukin-6 production,14/279,144/13960,0.09722222222222222,4.864595778574273,6.656784422733217,1.130529532582299e-6,0.001318574278168488,NA,IL10/IL1A/CX3CL1/NCKAP1L/MIR140/PTPN6/IL1B/IL16/INPP5D/NLRC3/ZBTB20/C1QTNF3/TLR6/PTPN22,14,F5
GO:0032675,regulation of interleukin-6 production,14/279,144/13960,0.09722222222222222,4.864595778574273,6.656784422733217,1.130529532582299e-6,0.001318574278168488,NA,IL10/IL1A/CX3CL1/NCKAP1L/MIR140/PTPN6/IL1B/IL16/INPP5D/NLRC3/ZBTB20/C1QTNF3/TLR6/PTPN22,14,F5
GO:0050900,leukocyte migration,21/279,340/13960,0.061764705882352944,3.09044908285895,5.572638004441657,4.857066940318406e-6,0.004248719306043525,NA,IL10/IL1A/CX3CL1/SPN/NCKAP1L/ITGA2B/IL1B/FUT7/IL16/EMILIN1/CCL22/CXCL10/ADAM10/FCER1G/MYO1G/PIK3CG/CX3CR1/LGMN/CD34/ZAP70/SMPD3,21,F5
GO:1901342,regulation of vasculature development,19/279,295/13960,0.06440677966101695,3.2226474697770486,5.509943039794397,7.656568551060455e-6,0.005358066672032106,NA,IL10/IL1A/CX3CL1/MIR125B1/CCM2/PTPN6/IL1B/FGF2/ENG/EMILIN1/CXCL10/ADAM10/CAMP/PIK3CG/CX3CR1/E2F2/CD160/HK2/CD34,19,F5
GO:0045765,regulation of angiogenesis,18/279,287/13960,0.0627177700348432,3.1381364504889286,5.226546187124427,1.9088484215581152e-5,0.010632291820590722,NA,IL10/IL1A/CX3CL1/MIR125B1/CCM2/PTPN6/IL1B/FGF2/ENG/EMILIN1/CXCL10/CAMP/PIK3CG/CX3CR1/E2F2/CD160/HK2/CD34,18,F5
GO:0002274,myeloid leukocyte activation,15/279,210/13960,0.07142857142857142,3.5739887352790576,5.3670454621151995,2.1270660972887986e-5,0.010632291820590722,NA,IL10/CX3CL1/PTPN6/IL16/ADAM10/CAMP/FCER1G/CST7/PIK3CG/CX3CR1/TSPAN32/SCN11A/DNASE1L3/CSF2/TLR6,15,F5
GO:0002250,adaptive immune response,21/279,394/13960,0.0532994923857868,2.6668849953605154,4.792897878210861,4.4498294065254264e-5,0.019462441366790584,NA,IL10/KLHL6/SPN/NCKAP1L/BTLA/PRF1/PTPN6/IL1B/RAP1GAP2/FUT7/BRD4/VTCN1/INPP5D/FCER1G/MYO1G/PIK3CG/CX3CR1/CD1D/CD160/SLAMF7/ZAP70,21,F5
GO:0060326,cell chemotaxis,16/279,264/13960,0.06060606060606061,3.0324752905398067,4.7610275880132376,8.341425482733657e-5,0.03242960862676118,NA,IL10/CX3CL1/NCKAP1L/CCRL2/IL1B/FGF2/BIN2/ENG/IL16/CCL22/CXCL10/ADAM10/FCER1G/PIK3CG/CX3CR1/LGMN,16,F5
GO:0032892,positive regulation of organic acid transport,6/279,38/13960,0.15789473684210525,7.900396151669495,6.08254515525423,9.736122148318251e-5,0.034066691396965554,NA,IL1A/IL1B/OXT/ABAT/ACSL5/SLC17A8,6,F5
GO:0071219,cellular response to molecule of bacterial origin,13/279,192/13960,0.06770833333333333,3.38784348864994,4.757637811086192,1.296298530552554e-4,0.038701797532524305,NA,IL10/IL1A/CX3CL1/MIR140/IL1B/CEBPE/CXCL10/CAMP/CX3CR1/CSF2/TLR6/ABCA1/PTPN22,13,F5
GO:0001562,response to protozoan,5/279,26/13960,0.19230769230769232,9.622277364212849,6.284071155365304,1.4339483304433707e-4,0.038701797532524305,NA,IL10/GBP4/SPN/VTCN1/TSPAN32,5,F5
GO:0001906,cell killing,13/279,194/13960,0.06701030927835051,3.3529172671174665,4.712745343926159,1.437906167255833e-4,0.038701797532524305,NA,GZMA/NCKAP1L/PRF1/PTPN6/CCL22/CXCL10/CAMP/CX3CR1/CD1D/DNASE1L3/CD160/SLAMF7/GNLY,13,F5
GO:0006968,cellular defense response,6/279,42/13960,0.14285714285714285,7.147977470558115,5.698214982328328,1.7302668092066974e-4,0.04324431118153024,NA,SPN/PRF1/LGALS3BP/CX3CR1/NCF2/GNLY,6,F5
GO:0072678,T cell migration,7/279,61/13960,0.11475409836065574,5.74181796815324,5.300152331892784,2.0487114345763867e-4,0.045840818032818136,NA,SPN/FUT7/CXCL10/ADAM10/MYO1G/PIK3CG/ZAP70,7,F5
GO:0043583,ear development,13/279,202/13960,0.06435643564356436,3.220128464459349,4.538856694566051,2.145812270528937e-4,0.045840818032818136,NA,DDR1/CCM2/FGF2/SIX1/ADAM10/EDNRA/ATP6V1B1/PCDH15/FOXG1/SOX2/COL11A1/CHRNA9/SLC17A8,13,F5
GO:0032720,negative regulation of tumor necrosis factor production,7/279,62/13960,0.11290322580645161,5.649208000924962,5.239248544460748,2.2705683703333273e-4,0.045840818032818136,NA,IL10/CX3CL1/MIR125B1/MIR140/PTPN6/NLRC3/PTPN22,7,F5
GO:0019221,cytokine-mediated signaling pathway,21/279,448/13960,0.046875,2.3454301075268815,4.1334307352819835,2.679963369516184e-4,0.045840818032818136,NA,IL10/TNFRSF25/IL1A/CX3CL1/ZBP1/MIR125B1/PTPN6/CCRL2/RBM47/IL1B/IL16/CCL22/SH2B2/CXCL10/FCER1G/IL17RE/GPR75/CX3CR1/CSF2/LAPTM5/TNFRSF11B,21,F5
