Factor,VE_RNA,VE_METH,VE_TOTAL,Rank
F1,17.606927407421928,1.1069141881229188,18.713841595544846,1
F6,0.7483138196581252,16.72186322510339,17.470177044761517,2
F4,1.380424464058331,13.313155430765944,14.693579894824275,3
F5,5.999144972061514,3.979587199879711,9.978732171941225,4
F2,3.595878135262647,5.969094211278268,9.564972346540916,5
F14,7.393139898649107,1.3350367674239825,8.72817666607309,6
F13,5.749546503099397,2.55670034780528,8.306246850904678,7
F9,6.703474932513992,0.6877133163542124,7.391188248868205,8
F11,2.2930399654277696,4.617891373073664,6.910931338501433,9
F12,0.9485907758935511,5.18242387940984,6.1310146553033915,10
F10,5.051317216773827,0.6431871717227508,5.694504388496578,11
F3,4.360673220481832,1.3275771432182555,5.688250363700088,12
F8,3.996948246273667,1.3506618512912023,5.3476100975648695,13
F15,0.9397452158675688,4.266180886621242,5.20592610248881,14
F7,1.2541686298495067,3.386202144549397,4.640370774398903,15
